team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CLEVELAND CAVALIERS,240,35,85,6,24,22,23,13,25,21,10,8,13,20
BOSTON CELTICS,240,39,74,7,15,19,25,10,28,26,10,8,15,22
DETROIT PISTONS,240,37,88,4,13,10,13,13,22,18,7,6,19,24
GOLDEN STATE WARRIORS,240,38,79,2,3,23,30,12,34,19,11,9,17,18
TORONTO RAPTORS,240,41,91,5,16,15,22,17,30,23,6,8,10,18
INDIANA PACERS,240,34,80,6,17,16,20,11,29,22,4,6,15,21
MINNESOTA TIMBERWOLVES,265,43,98,5,21,21,26,16,42,21,7,7,20,25
NEW JERSEY NETS,265,45,92,6,23,21,36,6,37,30,13,8,13,26
UTAH JAZZ,240,31,77,1,7,27,32,15,29,21,11,3,17,23
ORLANDO MAGIC,240,37,84,9,18,15,21,16,25,23,7,9,15,24
CHARLOTTE HORNETS,240,38,84,2,4,16,20,13,36,19,9,9,14,24
PHILADELPHIA 76ERS,240,31,74,2,10,21,27,6,35,21,7,10,11,18
PORTLAND TRAIL BLAZERS,240,25,76,4,13,25,30,15,31,12,6,6,18,16
SAN ANTONIO SPURS,240,37,85,9,22,14,17,12,34,24,14,6,12,21
SACRAMENTO KINGS,240,36,82,4,14,16,22,8,25,17,12,4,12,14
SEATTLE SUPERSONICS,240,43,80,9,15,9,11,8,39,32,7,6,20,20
ATLANTA HAWKS,240,30,90,2,11,14,19,23,24,22,10,5,13,16
WASHINGTON WIZARDS,240,45,82,3,7,10,16,14,35,34,8,9,12,18
