team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
HOUSTON ROCKETS,240,31,76,5,15,8,11,9,24,21,8,3,20,12
CHICAGO BULLS,240,45,84,5,10,8,13,13,31,33,9,5,12,15
DETROIT PISTONS,240,35,85,10,24,8,12,10,23,28,9,4,11,25
CLEVELAND CAVALIERS,240,34,68,6,13,26,32,9,37,27,8,12,17,15
DENVER NUGGETS,240,36,88,4,14,20,25,10,29,20,6,5,9,24
INDIANA PACERS,240,41,86,2,9,20,27,14,38,30,3,9,14,22
MIAMI HEAT,240,29,81,4,10,21,33,16,24,18,6,2,8,23
LOS ANGELES CLIPPERS,240,33,74,3,14,18,23,13,37,21,3,9,16,27
NEW YORK KNICKS,240,31,71,2,14,21,30,9,39,23,8,5,12,23
MILWAUKEE BUCKS,240,26,84,5,28,14,19,16,33,17,6,4,15,22
SEATTLE SUPERSONICS,240,35,81,4,12,9,15,12,24,18,7,7,17,16
MINNESOTA TIMBERWOLVES,240,46,89,4,7,12,14,16,28,36,11,8,11,17
PHILADELPHIA 76ERS,240,33,85,2,6,16,23,18,33,15,7,8,11,19
SACRAMENTO KINGS,240,37,89,4,16,16,23,18,31,22,7,8,12,16
WASHINGTON WIZARDS,240,35,76,2,6,16,19,6,32,17,5,7,12,22
SAN ANTONIO SPURS,240,38,82,8,22,19,28,8,29,26,9,7,10,18
CHARLOTTE HORNETS,240,38,82,7,13,17,24,17,24,23,6,4,16,25
UTAH JAZZ,240,38,75,6,10,22,29,11,23,22,7,12,10,20
