team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
TORONTO RAPTORS,240,37,89,7,15,16,25,17,27,20,7,4,11,21
ATLANTA HAWKS,240,39,90,2,6,22,25,21,34,14,8,8,11,21
BOSTON CELTICS,265,37,87,4,18,24,31,15,38,21,7,7,13,28
INDIANA PACERS,265,34,88,4,15,24,30,11,33,26,7,4,12,26
DENVER NUGGETS,240,41,83,6,21,23,30,14,31,25,4,2,15,22
MILWAUKEE BUCKS,240,43,86,8,20,22,25,9,24,27,11,1,8,22
LOS ANGELES LAKERS,240,30,77,5,13,18,24,16,27,17,7,6,17,23
MINNESOTA TIMBERWOLVES,240,38,85,2,10,18,24,18,25,27,11,5,12,21
DETROIT PISTONS,240,39,83,7,16,27,33,21,37,28,4,10,22,26
NEW JERSEY NETS,240,35,84,4,14,29,40,9,23,25,13,2,8,30
VANCOUVER GRIZZLIES,240,34,80,5,8,19,22,13,27,27,6,5,19,20
PHOENIX SUNS,240,42,84,1,8,16,18,11,29,29,10,10,14,20
LOS ANGELES CLIPPERS,240,31,86,1,9,7,11,13,36,18,4,11,13,25
SAN ANTONIO SPURS,240,37,85,3,13,15,22,15,37,17,7,8,8,13
ORLANDO MAGIC,240,35,79,8,14,22,27,13,28,24,5,5,9,22
WASHINGTON WIZARDS,240,35,85,6,19,20,25,20,28,18,7,11,14,24
