team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW YORK KNICKS,240,24,72,3,17,16,21,11,29,14,10,2,16,23
CHARLOTTE HORNETS,240,29,71,3,9,20,23,11,34,22,8,4,17,19
CHICAGO BULLS,240,33,90,4,15,16,24,15,27,15,13,6,14,26
CLEVELAND CAVALIERS,240,33,64,3,9,25,31,5,36,18,5,9,21,25
PHOENIX SUNS,240,41,76,7,12,17,26,11,48,27,4,9,16,25
DETROIT PISTONS,240,28,94,2,9,15,32,20,21,13,10,5,6,20
NEW JERSEY NETS,240,31,80,6,14,19,25,10,30,14,11,2,22,28
GOLDEN STATE WARRIORS,240,39,85,5,17,26,33,14,36,17,17,4,18,21
PHILADELPHIA 76ERS,265,31,85,2,16,21,31,11,46,11,8,9,17,20
HOUSTON ROCKETS,265,34,100,6,24,10,14,13,41,15,11,10,16,24
SEATTLE SUPERSONICS,265,46,95,7,19,15,21,17,33,30,9,6,14,23
LOS ANGELES CLIPPERS,265,42,92,8,19,18,25,11,30,22,7,12,11,21
TORONTO RAPTORS,240,31,76,4,15,17,30,13,29,11,6,2,18,21
MIAMI HEAT,240,40,78,4,13,19,26,8,33,19,12,4,13,22
