team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CHICAGO BULLS,240,39,78,6,16,15,25,12,35,29,6,5,17,19
BOSTON CELTICS,240,36,77,8,24,16,23,7,30,25,8,0,15,23
NEW YORK KNICKS,240,31,82,3,12,12,16,9,24,17,10,4,11,29
DETROIT PISTONS,240,27,68,5,18,27,33,14,36,15,5,6,21,25
SAN ANTONIO SPURS,240,41,87,6,18,10,20,22,20,25,10,6,19,21
GOLDEN STATE WARRIORS,240,40,83,5,9,21,26,18,28,25,7,10,16,24
HOUSTON ROCKETS,240,30,81,3,7,19,26,16,34,9,8,8,17,21
INDIANA PACERS,240,36,85,4,9,15,27,18,32,18,13,6,17,27
CLEVELAND CAVALIERS,240,36,84,0,1,26,37,19,28,21,10,5,10,19
LOS ANGELES CLIPPERS,240,38,75,5,13,15,21,11,28,22,4,9,17,23
DALLAS MAVERICKS,240,47,95,10,24,15,20,13,33,32,11,3,13,25
MEMPHIS GRIZZLIES,240,43,77,5,21,17,32,6,34,28,9,3,21,18
ORLANDO MAGIC,240,39,71,8,12,14,21,9,29,22,5,2,13,19
MIAMI HEAT,240,36,78,1,5,13,17,8,26,20,4,6,10,17
DENVER NUGGETS,240,31,78,5,19,10,17,13,35,19,5,4,21,22
MINNESOTA TIMBERWOLVES,240,34,82,4,10,11,17,6,31,22,9,5,15,19
ATLANTA HAWKS,240,37,84,5,16,15,21,11,23,19,14,13,19,23
NEW JERSEY NETS,240,40,87,3,9,22,28,17,30,22,9,14,18,19
UTAH JAZZ,240,29,73,0,3,17,27,15,28,17,4,2,20,25
NEW ORLEANS HORNETS,240,35,80,6,10,24,33,16,25,22,12,3,10,26
MILWAUKEE BUCKS,240,32,79,10,24,19,23,6,29,19,11,6,16,25
PHILADELPHIA 76ERS,240,31,86,5,18,28,37,24,34,20,9,3,21,21
LOS ANGELES LAKERS,240,35,85,6,21,14,17,15,26,24,8,6,19,21
PORTLAND TRAIL BLAZERS,240,39,85,4,8,20,30,19,27,23,14,3,14,20
PHOENIX SUNS,240,33,85,0,10,7,7,15,31,15,3,3,17,21
SEATTLE SUPERSONICS,240,34,74,6,13,12,20,10,26,22,10,8,12,19
WASHINGTON WIZARDS,240,24,81,2,7,18,25,14,35,14,8,6,12,25
TORONTO RAPTORS,240,27,76,3,15,17,25,13,40,20,8,4,20,24
