team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CHARLOTTE HORNETS,240,30,81,3,16,33,43,13,33,18,10,3,13,23
DALLAS MAVERICKS,240,40,75,3,8,23,29,3,40,18,9,6,16,28
PHILADELPHIA 76ERS,240,44,85,2,9,16,22,15,24,24,6,7,12,24
HOUSTON ROCKETS,240,37,82,12,25,23,32,21,27,26,6,8,16,19
PORTLAND TRAIL BLAZERS,240,35,83,8,20,10,13,13,33,18,4,0,14,27
NEW YORK KNICKS,240,33,79,8,25,24,35,12,26,21,9,4,8,19
TORONTO RAPTORS,240,35,92,7,15,18,24,17,24,23,8,6,13,23
SAN ANTONIO SPURS,240,40,82,2,7,30,37,16,33,24,9,2,14,19
MILWAUKEE BUCKS,240,37,79,9,15,19,22,9,27,20,12,11,12,21
UTAH JAZZ,240,38,84,6,11,17,21,14,32,29,6,5,16,22
