team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
SAN ANTONIO SPURS,240,29,75,2,2,12,15,7,35,20,6,3,11,18
CHARLOTTE HORNETS,240,28,78,5,16,9,13,10,40,24,6,2,11,17
UTAH JAZZ,240,36,86,5,13,15,18,12,35,23,11,11,14,20
DALLAS MAVERICKS,240,35,87,5,17,10,13,13,31,18,5,5,17,20
DENVER NUGGETS,240,41,91,3,15,21,25,17,28,22,13,5,13,21
HOUSTON ROCKETS,240,39,85,5,17,14,18,15,27,18,7,5,19,20
CHICAGO BULLS,240,36,81,4,18,7,8,8,26,21,6,4,11,19
INDIANA PACERS,240,37,75,8,16,18,22,10,32,23,9,7,10,16
LOS ANGELES CLIPPERS,240,33,73,8,16,17,20,5,22,21,4,6,13,16
MINNESOTA TIMBERWOLVES,240,50,90,6,12,10,13,15,30,41,5,5,9,17
ORLANDO MAGIC,240,40,91,2,11,10,15,16,23,17,7,5,17,19
PORTLAND TRAIL BLAZERS,240,44,79,7,14,16,19,9,31,27,12,5,15,21
BOSTON CELTICS,240,46,81,2,10,7,13,12,32,17,13,6,18,25
VANCOUVER GRIZZLIES,240,31,74,2,8,13,19,8,24,19,5,4,19,16
PHOENIX SUNS,240,34,74,5,8,19,28,8,32,21,14,4,16,20
WASHINGTON WIZARDS,240,32,84,5,16,14,19,14,31,14,6,2,18,24
