team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
LOS ANGELES LAKERS,240,46,89,11,20,13,16,8,28,34,7,8,8,23
CLEVELAND CAVALIERS,240,37,79,6,12,18,23,12,29,20,6,2,16,24
INDIANA PACERS,240,39,74,9,17,31,36,7,32,28,7,6,20,20
DETROIT PISTONS,240,45,89,5,15,16,17,9,22,23,10,3,18,34
NEW JERSEY NETS,240,35,94,4,17,11,14,14,31,13,7,5,10,24
MIAMI HEAT,240,37,80,2,13,23,35,16,40,23,5,8,13,15
GOLDEN STATE WARRIORS,240,34,88,4,13,19,30,21,41,27,9,2,15,22
MILWAUKEE BUCKS,240,33,81,4,9,16,20,6,34,16,8,6,12,21
TORONTO RAPTORS,240,35,72,4,11,25,30,7,27,21,5,2,10,25
NEW YORK KNICKS,240,31,70,3,13,23,26,5,29,18,4,0,11,24
LOS ANGELES CLIPPERS,240,31,78,4,11,12,16,8,26,17,9,4,18,20
PHILADELPHIA 76ERS,240,39,84,2,8,14,21,19,39,28,12,7,21,20
ATLANTA HAWKS,240,45,104,2,2,8,10,18,32,23,12,9,9,15
SACRAMENTO KINGS,240,38,92,3,17,15,16,15,37,17,6,6,16,14
