team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW JERSEY NETS,240,31,95,8,15,16,21,21,25,13,6,2,14,24
ATLANTA HAWKS,240,40,80,4,9,19,27,15,34,23,7,15,17,21
LOS ANGELES LAKERS,240,33,82,5,18,17,20,14,35,23,9,8,13,16
CHICAGO BULLS,240,29,77,5,9,13,15,9,28,23,5,5,15,24
SAN ANTONIO SPURS,240,29,75,5,11,18,23,8,27,27,7,12,19,22
CLEVELAND CAVALIERS,240,34,81,4,9,20,24,14,29,23,13,6,13,22
MILWAUKEE BUCKS,240,42,92,12,24,16,20,18,28,25,3,4,11,19
DALLAS MAVERICKS,240,40,84,3,13,16,22,14,28,22,2,7,12,18
PORTLAND TRAIL BLAZERS,240,35,95,7,17,15,23,20,38,23,9,5,14,18
GOLDEN STATE WARRIORS,240,31,77,5,20,16,28,14,40,21,10,6,20,23
DETROIT PISTONS,240,38,81,5,11,21,30,8,28,21,5,4,15,19
HOUSTON ROCKETS,240,39,82,10,24,19,25,12,34,25,8,4,19,30
LOS ANGELES CLIPPERS,240,33,86,4,13,18,26,12,25,14,10,5,14,22
MIAMI HEAT,240,41,89,7,18,18,24,20,43,27,12,13,20,25
DENVER NUGGETS,265,47,96,5,17,8,15,14,32,27,7,7,18,19
MINNESOTA TIMBERWOLVES,265,39,83,4,11,22,22,7,27,27,8,4,15,20
CHARLOTTE HORNETS,240,35,85,4,10,21,27,20,37,23,8,5,16,17
PHILADELPHIA 76ERS,240,40,88,3,4,10,16,12,29,24,11,6,11,24
PHOENIX SUNS,240,45,87,5,11,22,23,15,31,37,12,1,18,20
SACRAMENTO KINGS,240,41,87,12,32,14,20,10,23,24,12,4,19,23
WASHINGTON WIZARDS,240,30,82,3,18,22,30,18,32,16,5,2,20,26
SEATTLE SUPERSONICS,240,41,81,13,28,19,34,10,31,24,11,2,12,28
NEW YORK KNICKS,240,29,74,4,12,8,19,11,31,17,4,7,14,19
TORONTO RAPTORS,240,35,82,7,17,14,18,11,34,26,12,8,7,20
BOSTON CELTICS,240,36,77,3,12,26,34,11,28,17,7,5,17,29
UTAH JAZZ,240,32,80,6,10,29,33,15,29,22,6,10,17,28
