team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DALLAS MAVERICKS,240,38,81,5,14,27,35,12,26,26,6,3,17,20
BOSTON CELTICS,240,38,92,4,15,20,25,20,29,27,9,1,20,31
SEATTLE SUPERSONICS,240,32,76,8,22,12,26,9,32,19,6,4,14,17
CHARLOTTE HORNETS,240,32,87,4,16,13,15,15,36,20,10,4,16,18
ATLANTA HAWKS,240,29,84,3,11,14,17,14,38,15,6,6,11,20
GOLDEN STATE WARRIORS,240,33,89,2,8,12,20,21,37,24,8,4,9,13
HOUSTON ROCKETS,240,34,90,13,31,15,20,17,39,27,10,3,19,14
LOS ANGELES CLIPPERS,240,26,97,4,15,21,23,23,32,13,11,8,14,19
NEW YORK KNICKS,240,31,80,5,15,9,13,16,24,12,7,6,14,16
MIAMI HEAT,240,33,76,5,18,14,14,13,32,18,7,2,11,18
NEW JERSEY NETS,240,37,87,8,21,19,25,15,25,20,5,12,11,23
UTAH JAZZ,240,40,82,8,17,18,22,11,29,27,6,9,11,23
