team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
LOS ANGELES CLIPPERS,240,34,85,4,14,15,21,11,21,19,4,3,8,19
CHARLOTTE HORNETS,240,48,88,8,16,11,14,14,38,34,4,4,12,17
BOSTON CELTICS,240,30,78,4,13,36,53,17,33,17,5,0,18,36
GOLDEN STATE WARRIORS,240,43,84,4,15,32,45,14,37,30,12,8,14,33
VANCOUVER GRIZZLIES,240,35,75,5,13,16,20,9,28,21,5,2,20,18
MINNESOTA TIMBERWOLVES,240,40,78,4,10,19,21,5,28,33,11,6,13,22
MIAMI HEAT,240,35,74,3,11,11,17,18,33,21,9,6,24,30
NEW JERSEY NETS,240,31,80,6,18,23,34,14,21,20,12,5,11,18
LOS ANGELES LAKERS,265,40,81,4,11,23,27,6,32,30,10,5,17,18
ORLANDO MAGIC,265,44,97,4,16,7,11,12,32,26,6,2,16,27
CLEVELAND CAVALIERS,240,29,83,3,8,14,18,15,28,18,6,2,17,27
PHILADELPHIA 76ERS,240,38,78,3,8,25,37,16,34,26,10,9,14,22
ATLANTA HAWKS,240,27,75,1,6,18,30,21,39,13,5,9,21,19
PHOENIX SUNS,240,37,90,2,8,9,15,14,31,25,8,6,8,23
WASHINGTON WIZARDS,240,31,74,2,9,21,31,10,26,18,8,3,14,31
PORTLAND TRAIL BLAZERS,240,30,81,5,20,28,34,20,31,16,5,6,16,29
SEATTLE SUPERSONICS,240,30,84,8,23,17,21,8,33,20,7,7,18,23
SACRAMENTO KINGS,240,46,99,11,34,15,15,11,39,26,11,7,12,23
HOUSTON ROCKETS,240,33,78,3,13,23,31,12,30,22,8,5,24,20
SAN ANTONIO SPURS,240,45,86,7,14,19,24,11,29,32,17,8,14,25
DENVER NUGGETS,240,32,74,3,8,28,33,12,37,16,4,3,18,21
TORONTO RAPTORS,240,37,91,5,21,12,22,15,26,25,8,8,9,26
