team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MIAMI HEAT,240,32,79,6,12,6,11,10,30,27,8,7,13,27
CHICAGO BULLS,240,27,75,7,13,22,27,13,34,20,3,4,15,20
DENVER NUGGETS,240,36,85,3,21,26,32,10,30,23,5,4,11,24
CLEVELAND CAVALIERS,240,46,87,6,13,21,24,10,37,36,7,4,11,29
DETROIT PISTONS,240,34,82,8,18,21,25,10,33,21,10,9,12,22
DALLAS MAVERICKS,240,42,91,12,23,10,14,12,34,24,4,9,14,19
INDIANA PACERS,240,30,61,6,15,26,34,6,32,21,7,2,14,20
MILWAUKEE BUCKS,240,35,85,2,8,18,20,16,26,17,7,1,11,28
SACRAMENTO KINGS,240,34,77,5,12,35,43,9,28,16,8,2,12,30
UTAH JAZZ,240,42,80,7,13,28,38,7,36,30,3,7,11,33
