team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CHARLOTTE HORNETS,240,32,76,4,9,22,30,11,27,23,9,2,12,20
CHICAGO BULLS,240,35,72,2,7,15,23,6,32,26,9,6,16,25
BOSTON CELTICS,240,36,89,9,27,22,33,14,27,23,12,5,13,28
CLEVELAND CAVALIERS,240,40,80,4,9,25,30,10,37,30,7,8,22,29
UTAH JAZZ,240,33,76,5,16,21,26,10,24,25,4,2,11,26
DENVER NUGGETS,240,40,79,11,20,21,26,10,31,30,4,6,10,25
ATLANTA HAWKS,240,38,103,5,12,12,15,18,26,22,8,6,8,19
HOUSTON ROCKETS,240,45,89,4,10,21,27,15,43,23,3,11,12,17
MILWAUKEE BUCKS,240,31,76,2,8,15,25,11,24,20,6,4,18,22
PORTLAND TRAIL BLAZERS,240,43,84,9,23,18,25,14,31,32,9,5,10,26
