team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CHICAGO BULLS,240,29,71,4,11,21,32,16,36,15,4,5,17,22
CLEVELAND CAVALIERS,240,29,74,4,11,12,15,9,23,14,6,3,10,26
MILWAUKEE BUCKS,240,41,79,5,11,30,39,13,29,23,11,4,18,29
GOLDEN STATE WARRIORS,240,37,85,7,15,32,38,17,25,29,8,4,17,27
NEW YORK KNICKS,240,34,91,6,14,8,8,12,25,17,4,2,7,23
LOS ANGELES LAKERS,240,39,76,4,11,24,29,10,40,31,4,9,8,13
SAN ANTONIO SPURS,240,29,65,5,11,21,31,6,26,19,9,7,12,24
MIAMI HEAT,240,31,69,7,16,19,26,11,29,17,8,5,13,25
PHOENIX SUNS,240,35,77,2,14,15,19,7,32,26,14,5,18,16
MINNESOTA TIMBERWOLVES,240,33,85,4,8,16,17,14,34,24,12,3,18,17
DETROIT PISTONS,240,47,93,6,16,13,18,12,39,33,7,2,8,23
NEW JERSEY NETS,240,34,84,5,18,19,29,12,32,27,4,2,10,19
SEATTLE SUPERSONICS,240,32,80,4,19,14,26,13,29,21,2,5,16,29
PORTLAND TRAIL BLAZERS,240,33,80,5,16,24,30,13,34,18,11,1,11,24
PHILADELPHIA 76ERS,240,40,82,1,4,14,21,16,22,25,10,5,18,24
SACRAMENTO KINGS,240,47,83,10,19,13,20,14,26,31,9,3,16,21
INDIANA PACERS,240,39,81,10,22,16,18,9,34,29,5,9,12,19
TORONTO RAPTORS,240,31,81,2,16,19,20,13,30,20,5,5,10,16
DALLAS MAVERICKS,240,37,79,8,22,18,18,8,37,25,8,5,19,22
VANCOUVER GRIZZLIES,240,33,81,1,11,19,26,13,32,19,11,4,16,18
