team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CLEVELAND CAVALIERS,240,33,89,5,12,19,24,14,26,19,9,5,8,27
ATLANTA HAWKS,240,41,92,2,12,24,29,21,35,21,5,11,14,22
ORLANDO MAGIC,240,40,86,7,11,23,30,12,39,21,8,14,22,27
CHARLOTTE HORNETS,240,40,96,0,8,26,33,13,30,31,16,9,15,28
WASHINGTON WIZARDS,240,36,77,2,8,15,26,9,31,20,3,3,14,27
HOUSTON ROCKETS,240,35,80,8,16,27,37,12,29,25,9,3,13,26
SACRAMENTO KINGS,240,36,86,3,17,16,33,11,36,22,9,5,19,23
LOS ANGELES CLIPPERS,240,37,86,5,13,18,24,9,40,21,9,9,18,27
SEATTLE SUPERSONICS,240,38,87,13,26,13,19,9,31,19,2,9,9,19
MINNESOTA TIMBERWOLVES,240,44,96,2,7,19,25,17,37,27,2,10,6,18
PHILADELPHIA 76ERS,240,27,77,3,10,37,43,18,28,10,7,2,15,21
NEW JERSEY NETS,240,39,91,6,26,15,19,21,28,21,7,9,11,29
DALLAS MAVERICKS,240,44,85,8,16,15,20,18,30,26,6,4,19,17
PHOENIX SUNS,240,43,86,12,25,12,19,12,22,30,11,6,13,19
GOLDEN STATE WARRIORS,240,37,89,3,11,14,16,14,21,22,5,0,11,28
PORTLAND TRAIL BLAZERS,240,37,77,6,19,31,40,10,30,27,5,6,10,18
MILWAUKEE BUCKS,240,34,81,3,6,23,29,17,26,18,7,6,12,25
SAN ANTONIO SPURS,240,34,80,4,11,19,29,16,28,22,6,5,13,24
DENVER NUGGETS,240,37,77,3,12,14,21,8,31,14,8,12,12,20
VANCOUVER GRIZZLIES,240,37,87,1,6,18,21,14,32,22,8,5,12,22
