team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
LOS ANGELES LAKERS,240,35,87,0,5,25,36,19,32,15,4,5,10,29
ATLANTA HAWKS,240,30,78,2,11,26,36,13,33,12,5,7,16,30
NEW YORK KNICKS,240,40,81,4,11,16,19,9,38,19,4,5,16,20
DALLAS MAVERICKS,240,37,89,3,15,16,20,9,30,19,4,6,10,20
SACRAMENTO KINGS,240,39,89,4,16,24,29,15,25,27,5,6,16,23
DENVER NUGGETS,240,47,104,2,16,20,25,25,33,23,9,7,13,25
DETROIT PISTONS,240,38,75,3,12,37,43,10,32,22,11,3,16,26
GOLDEN STATE WARRIORS,240,38,92,7,21,25,35,22,29,23,9,1,18,34
MILWAUKEE BUCKS,240,37,81,3,13,19,20,10,34,18,7,6,14,20
MIAMI HEAT,240,35,88,9,23,16,20,14,30,20,4,6,12,22
PORTLAND TRAIL BLAZERS,240,45,85,10,19,7,15,11,34,31,11,10,13,12
SEATTLE SUPERSONICS,240,33,84,9,22,6,10,11,31,19,8,1,17,14
NEW JERSEY NETS,240,37,73,11,20,19,28,10,18,20,9,4,16,25
WASHINGTON WIZARDS,240,47,79,4,8,10,20,16,25,31,9,5,18,25
