team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DETROIT PISTONS,240,32,71,4,9,28,37,6,22,18,6,5,17,30
DENVER NUGGETS,240,36,74,5,12,23,30,12,35,16,4,14,19,37
GOLDEN STATE WARRIORS,240,28,84,3,10,16,22,18,34,14,11,8,20,26
LOS ANGELES LAKERS,240,35,93,1,11,22,29,23,34,18,10,5,13,23
PHILADELPHIA 76ERS,240,33,78,1,4,16,24,12,24,20,6,5,13,25
MIAMI HEAT,240,33,73,4,11,20,23,14,30,23,8,10,17,27
HOUSTON ROCKETS,290,46,94,9,26,21,33,9,42,26,6,7,21,26
PHOENIX SUNS,290,44,103,7,13,33,39,13,31,32,14,7,9,24
CHARLOTTE HORNETS,240,35,84,3,10,17,24,11,27,24,8,2,13,28
PORTLAND TRAIL BLAZERS,240,37,72,6,14,14,24,9,32,27,7,6,21,25
INDIANA PACERS,240,34,77,6,17,22,28,9,29,24,8,6,11,23
VANCOUVER GRIZZLIES,240,35,80,4,9,15,18,12,33,16,5,4,16,29
CLEVELAND CAVALIERS,240,33,76,5,11,40,53,11,32,21,8,4,16,31
WASHINGTON WIZARDS,240,38,82,5,10,27,41,13,31,19,8,4,15,37
