team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MIAMI HEAT,240,33,74,6,17,12,24,10,30,22,9,4,18,27
BOSTON CELTICS,240,35,77,4,14,22,31,13,34,18,13,8,13,26
PHILADELPHIA 76ERS,265,41,91,1,4,19,23,14,35,25,11,2,21,32
CLEVELAND CAVALIERS,265,36,81,6,11,22,33,12,32,26,14,7,20,27
ORLANDO MAGIC,240,42,82,2,7,26,33,12,35,23,11,10,16,21
DENVER NUGGETS,240,38,99,6,29,18,24,25,26,27,7,10,20,24
SAN ANTONIO SPURS,240,24,66,3,15,29,35,4,33,15,7,9,21,30
DETROIT PISTONS,240,37,82,3,13,25,33,10,36,18,9,2,14,27
PORTLAND TRAIL BLAZERS,240,26,76,7,15,21,25,7,35,17,4,5,12,31
LOS ANGELES LAKERS,240,31,86,4,19,27,41,17,40,12,9,7,6,22
WASHINGTON WIZARDS,240,37,82,1,5,18,25,14,34,23,5,6,13,20
TORONTO RAPTORS,240,36,82,5,13,18,24,12,28,29,4,10,8,20
INDIANA PACERS,240,41,80,8,18,10,14,10,33,26,10,6,13,24
UTAH JAZZ,240,30,79,1,12,14,21,13,29,23,6,3,13,21
CHARLOTTE HORNETS,240,46,83,4,12,17,22,8,25,35,13,4,13,25
VANCOUVER GRIZZLIES,240,36,71,3,7,19,28,8,27,23,7,6,22,24
