team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
LOS ANGELES LAKERS,240,34,65,3,10,28,41,6,39,19,10,5,21,22
BOSTON CELTICS,240,36,89,3,13,15,18,11,32,23,12,3,16,38
SEATTLE SUPERSONICS,240,34,74,7,16,18,24,7,36,26,10,1,12,20
CHICAGO BULLS,240,34,80,4,16,12,18,10,32,26,8,7,14,22
MINNESOTA TIMBERWOLVES,240,32,77,0,2,36,44,15,31,27,10,5,18,24
CLEVELAND CAVALIERS,240,34,76,3,9,23,31,10,30,22,10,4,19,32
MIAMI HEAT,240,34,73,8,12,16,21,13,36,23,6,3,15,23
DALLAS MAVERICKS,240,33,77,7,11,16,23,10,27,13,5,8,9,19
PORTLAND TRAIL BLAZERS,240,34,85,7,21,13,17,18,29,22,4,12,18,27
DENVER NUGGETS,240,40,82,2,10,15,20,12,25,24,8,9,11,18
SACRAMENTO KINGS,240,40,101,3,17,16,24,27,30,25,12,3,22,25
GOLDEN STATE WARRIORS,240,45,86,1,11,20,32,13,34,31,14,5,17,24
CHARLOTTE HORNETS,265,38,82,7,17,26,35,7,31,22,7,4,11,28
NEW YORK KNICKS,265,39,95,8,21,26,32,23,34,22,7,8,15,28
UTAH JAZZ,240,37,74,4,8,24,32,13,26,28,6,3,21,29
ORLANDO MAGIC,240,40,85,1,6,23,35,16,23,20,9,8,12,28
DETROIT PISTONS,265,41,79,6,20,33,41,6,33,25,9,5,16,24
PHILADELPHIA 76ERS,265,50,101,7,15,15,22,13,28,30,11,4,13,35
MILWAUKEE BUCKS,240,41,83,6,16,13,17,7,31,20,9,9,18,25
PHOENIX SUNS,240,42,92,6,18,18,24,17,30,29,6,3,16,22
