team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MINNESOTA TIMBERWOLVES,240,40,96,3,8,11,15,13,26,25,11,4,10,20
ATLANTA HAWKS,240,41,87,4,11,19,26,19,41,22,8,9,18,14
BOSTON CELTICS,240,33,80,5,19,17,21,9,23,23,8,4,16,28
CLEVELAND CAVALIERS,240,43,81,6,12,23,24,12,31,34,10,4,15,27
SAN ANTONIO SPURS,240,45,89,4,12,17,22,14,37,24,9,4,15,21
DALLAS MAVERICKS,240,36,88,6,11,15,18,7,31,26,8,6,13,22
MIAMI HEAT,240,39,79,4,12,15,23,10,29,28,3,9,16,20
GOLDEN STATE WARRIORS,240,41,89,4,15,16,25,15,28,29,8,0,7,27
NEW YORK KNICKS,240,39,74,7,12,16,17,4,30,20,9,4,13,22
HOUSTON ROCKETS,240,34,74,9,19,13,18,7,25,18,4,4,13,18
LOS ANGELES CLIPPERS,240,26,80,7,18,9,17,10,32,19,8,6,18,23
LOS ANGELES LAKERS,240,39,91,1,8,16,25,19,40,21,11,10,12,17
DETROIT PISTONS,240,36,81,7,16,25,28,9,26,21,10,3,17,21
PHOENIX SUNS,240,44,86,6,18,20,24,8,30,25,12,8,17,22
DENVER NUGGETS,240,29,84,3,17,23,30,14,30,20,11,4,19,24
SEATTLE SUPERSONICS,240,44,87,6,21,15,28,12,37,30,12,8,20,19
INDIANA PACERS,240,37,79,3,16,20,22,8,27,19,6,11,15,18
TORONTO RAPTORS,240,41,94,5,14,18,22,20,30,32,5,7,13,22
UTAH JAZZ,240,42,79,4,8,13,19,9,25,24,11,6,16,23
WASHINGTON WIZARDS,240,30,67,0,9,20,29,11,28,18,7,9,22,21
