team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
LOS ANGELES CLIPPERS,240,32,87,4,17,13,17,14,29,18,8,6,13,19
ATLANTA HAWKS,240,44,87,2,5,9,14,12,38,19,5,6,11,19
DENVER NUGGETS,240,29,71,2,10,30,44,7,33,17,9,2,24,16
BOSTON CELTICS,240,47,91,4,13,17,20,9,39,33,19,5,16,30
GOLDEN STATE WARRIORS,240,44,103,7,18,11,19,23,32,26,9,3,12,31
CHARLOTTE HORNETS,240,44,84,4,8,21,28,10,35,29,10,14,16,17
CHICAGO BULLS,240,37,82,3,12,16,24,11,24,17,7,3,15,26
CLEVELAND CAVALIERS,240,38,77,7,13,24,35,12,28,26,11,3,19,26
MILWAUKEE BUCKS,240,35,78,4,12,16,28,13,34,16,5,4,16,27
NEW JERSEY NETS,240,38,79,8,21,23,31,10,27,26,10,5,12,28
HOUSTON ROCKETS,240,26,71,6,19,15,21,14,27,15,9,6,27,19
PHILADELPHIA 76ERS,240,35,84,1,4,12,15,17,28,23,14,3,22,23
LOS ANGELES LAKERS,240,35,83,3,15,18,23,10,27,16,4,2,17,25
SACRAMENTO KINGS,240,37,82,4,13,25,35,10,35,16,11,2,16,23
MINNESOTA TIMBERWOLVES,240,38,81,3,9,15,21,7,29,29,6,3,14,19
SEATTLE SUPERSONICS,240,41,94,11,26,17,21,17,33,24,8,3,12,20
DALLAS MAVERICKS,240,31,87,5,16,12,15,13,23,19,8,5,12,18
UTAH JAZZ,240,36,80,2,5,11,15,16,33,23,8,9,18,19
