team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ATLANTA HAWKS,240,36,83,1,4,19,30,13,31,20,8,11,11,20
CHICAGO BULLS,240,37,83,5,12,17,23,10,35,32,5,8,15,24
TORONTO RAPTORS,240,40,89,5,12,35,42,15,30,32,8,6,10,26
CLEVELAND CAVALIERS,240,38,75,5,8,24,32,4,31,27,5,7,13,26
NEW YORK KNICKS,240,27,76,3,9,20,23,8,34,18,3,3,14,24
DENVER NUGGETS,240,34,74,11,23,17,24,5,39,26,7,7,14,25
PHOENIX SUNS,240,37,85,2,8,17,22,10,38,26,13,14,12,13
GOLDEN STATE WARRIORS,240,35,87,5,10,8,13,11,39,22,6,2,17,17
WASHINGTON WIZARDS,240,32,90,1,10,24,29,17,27,16,10,4,16,26
HOUSTON ROCKETS,240,36,78,4,11,23,28,9,36,16,12,7,16,23
CHARLOTTE HORNETS,240,29,86,6,15,13,18,19,40,14,7,6,13,14
INDIANA PACERS,240,29,82,2,13,6,6,9,32,21,8,6,13,14
LOS ANGELES CLIPPERS,265,38,77,5,12,18,21,7,32,16,6,4,14,25
MIAMI HEAT,265,36,80,10,19,19,24,10,24,22,7,2,11,22
PHILADELPHIA 76ERS,240,37,87,5,13,28,36,15,29,24,10,0,11,24
MILWAUKEE BUCKS,240,40,83,4,13,20,25,12,36,28,10,9,18,29
LOS ANGELES LAKERS,265,41,86,6,22,25,39,17,28,30,6,9,14,28
NEW JERSEY NETS,265,39,85,8,17,24,32,11,26,21,6,1,13,32
MINNESOTA TIMBERWOLVES,240,35,77,6,12,12,14,10,24,20,8,1,25,21
PORTLAND TRAIL BLAZERS,240,44,84,4,8,17,21,13,31,30,9,1,16,17
DALLAS MAVERICKS,240,35,86,5,14,17,20,13,27,10,9,7,12,27
SAN ANTONIO SPURS,240,38,73,9,16,19,31,8,34,23,8,8,16,21
SACRAMENTO KINGS,265,32,80,6,17,27,37,13,28,14,12,5,13,24
UTAH JAZZ,265,34,92,5,16,21,27,23,40,23,5,7,19,29
BOSTON CELTICS,240,35,83,11,23,17,19,8,22,21,12,6,15,25
VANCOUVER GRIZZLIES,240,35,74,6,18,23,31,8,41,23,9,5,21,23
