team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MILWAUKEE BUCKS,240,32,87,11,28,16,25,17,45,22,1,7,14,26
BOSTON CELTICS,240,30,87,6,24,28,34,9,37,14,12,4,5,19
SAN ANTONIO SPURS,240,41,74,9,15,16,22,7,30,30,7,5,11,16
CLEVELAND CAVALIERS,240,36,79,1,4,16,19,6,28,21,4,6,12,21
LOS ANGELES CLIPPERS,240,36,79,4,10,12,26,13,37,16,7,8,16,23
GOLDEN STATE WARRIORS,240,35,87,5,16,14,24,20,31,21,11,8,13,20
PHOENIX SUNS,240,30,75,3,10,20,26,10,35,19,9,6,18,19
LOS ANGELES LAKERS,240,35,83,3,13,12,16,9,34,22,10,3,16,23
SACRAMENTO KINGS,240,34,84,3,10,17,29,14,27,23,11,2,13,10
MINNESOTA TIMBERWOLVES,240,48,84,9,18,12,13,8,38,39,10,11,16,28
DALLAS MAVERICKS,290,37,86,7,24,12,15,7,27,19,15,3,16,20
NEW YORK KNICKS,290,39,86,7,23,11,16,13,38,26,6,6,23,16
WASHINGTON WIZARDS,240,34,77,4,8,26,32,13,24,17,13,5,18,26
ORLANDO MAGIC,240,36,81,12,20,23,29,14,30,23,8,4,18,26
HOUSTON ROCKETS,240,39,86,10,24,24,28,16,28,19,14,4,10,21
PHILADELPHIA 76ERS,240,35,80,3,12,14,18,12,30,23,5,5,20,22
SEATTLE SUPERSONICS,240,31,75,3,8,15,21,13,28,16,5,4,16,15
PORTLAND TRAIL BLAZERS,240,41,89,5,10,10,15,16,30,21,9,6,12,17
UTAH JAZZ,240,36,78,2,6,18,21,9,34,28,12,6,16,22
VANCOUVER GRIZZLIES,240,29,70,5,13,19,25,7,30,22,9,8,19,23
