team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
INDIANA PACERS,240,38,87,5,16,11,13,12,30,24,4,5,6,20
CLEVELAND CAVALIERS,240,37,79,0,1,16,20,8,31,20,4,4,9,17
PHILADELPHIA 76ERS,240,40,85,2,7,17,22,11,42,21,6,7,15,17
DETROIT PISTONS,240,34,101,6,17,4,7,22,31,14,7,8,14,21
ORLANDO MAGIC,240,36,84,9,23,14,21,13,19,22,7,5,15,26
HOUSTON ROCKETS,240,37,74,3,7,28,38,13,36,23,7,6,18,20
ATLANTA HAWKS,240,43,92,3,11,17,18,10,29,16,5,4,13,19
LOS ANGELES LAKERS,240,46,90,5,15,16,25,13,32,30,8,8,12,13
VANCOUVER GRIZZLIES,240,28,78,6,11,19,21,10,33,21,8,2,17,16
MILWAUKEE BUCKS,240,37,90,9,24,10,12,16,38,25,9,5,15,20
GOLDEN STATE WARRIORS,240,33,91,3,14,14,18,20,27,22,5,2,15,13
MINNESOTA TIMBERWOLVES,240,51,88,9,21,11,15,8,33,38,10,5,7,20
PHOENIX SUNS,265,39,80,3,9,7,14,6,32,23,8,3,14,23
NEW YORK KNICKS,265,31,80,5,18,17,19,12,36,16,5,0,19,18
BOSTON CELTICS,240,29,78,2,20,22,30,8,28,18,9,4,7,19
SAN ANTONIO SPURS,240,35,75,8,17,22,25,10,37,23,3,8,12,24
UTAH JAZZ,240,36,83,3,10,21,31,14,25,23,12,2,9,22
SEATTLE SUPERSONICS,240,29,67,8,21,18,24,8,29,20,7,8,19,26
SACRAMENTO KINGS,315,43,102,8,23,25,29,12,43,20,8,8,17,19
TORONTO RAPTORS,315,46,109,8,19,18,20,10,38,26,11,15,10,26
