team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
WASHINGTON WIZARDS,240,38,81,5,10,20,24,14,28,20,6,4,13,20
DENVER NUGGETS,240,39,83,4,14,16,21,14,28,29,4,13,12,20
ATLANTA HAWKS,240,37,82,7,11,17,18,10,39,21,9,8,20,25
GOLDEN STATE WARRIORS,240,34,95,5,15,18,26,23,34,19,8,2,16,25
LOS ANGELES LAKERS,240,42,87,2,11,23,32,17,23,24,8,6,8,27
INDIANA PACERS,240,36,72,5,14,33,38,10,25,24,5,9,10,27
VANCOUVER GRIZZLIES,240,41,90,5,16,23,30,17,31,25,9,3,8,18
MINNESOTA TIMBERWOLVES,240,43,90,2,11,14,22,18,28,25,7,3,13,24
LOS ANGELES CLIPPERS,265,38,83,6,15,14,25,11,31,22,13,9,23,31
NEW JERSEY NETS,265,32,84,9,22,29,32,12,34,17,13,8,20,23
NEW YORK KNICKS,240,33,69,5,10,17,23,7,29,13,4,4,18,23
ORLANDO MAGIC,240,37,77,9,22,13,17,8,25,24,9,6,11,21
PHOENIX SUNS,240,43,90,1,12,11,18,16,28,24,11,3,17,22
PHILADELPHIA 76ERS,240,36,78,7,11,25,32,14,31,20,12,1,16,20
UTAH JAZZ,240,34,82,2,9,24,25,19,27,24,4,6,13,23
SACRAMENTO KINGS,240,31,74,3,14,25,31,13,26,18,10,6,13,23
SAN ANTONIO SPURS,240,36,75,2,11,18,25,10,37,19,7,7,13,15
TORONTO RAPTORS,240,30,78,2,11,12,17,8,31,19,6,1,15,20
