team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW YORK KNICKS,265,36,84,7,15,17,24,8,35,14,9,3,11,24
ATLANTA HAWKS,265,33,93,7,13,25,27,22,34,16,7,6,14,21
PHOENIX SUNS,240,31,80,7,19,19,22,14,31,23,6,3,16,27
BOSTON CELTICS,240,32,78,6,13,21,32,14,29,17,10,1,14,24
SACRAMENTO KINGS,240,41,86,8,23,12,19,13,28,27,15,4,19,20
CHICAGO BULLS,240,35,81,4,14,16,24,16,29,25,11,6,22,19
HOUSTON ROCKETS,240,37,88,6,19,18,25,15,37,25,9,6,18,20
DENVER NUGGETS,240,40,85,6,13,18,24,8,29,28,5,11,14,24
MILWAUKEE BUCKS,240,34,89,4,15,17,21,12,28,16,7,3,17,25
LOS ANGELES LAKERS,240,45,85,5,17,22,28,10,33,31,13,11,12,19
MIAMI HEAT,240,40,85,2,8,11,16,13,23,19,7,7,18,25
TORONTO RAPTORS,240,40,83,5,15,23,30,16,29,26,10,10,15,17
