team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DALLAS MAVERICKS,240,38,81,4,13,19,28,10,35,27,9,3,15,25
DETROIT PISTONS,240,35,89,6,23,15,23,13,33,21,11,5,15,23
MINNESOTA TIMBERWOLVES,240,39,82,2,5,19,24,10,40,27,10,5,15,23
GOLDEN STATE WARRIORS,240,31,87,4,9,15,22,15,29,16,8,3,16,23
MIAMI HEAT,240,37,93,9,17,5,8,16,31,29,6,3,10,14
HOUSTON ROCKETS,240,38,81,15,31,10,10,5,38,27,3,7,12,17
ORLANDO MAGIC,240,39,89,3,8,21,30,13,35,17,10,5,9,21
LOS ANGELES CLIPPERS,240,36,80,3,17,14,19,7,38,19,5,8,18,26
SEATTLE SUPERSONICS,240,30,74,4,15,13,15,3,31,15,4,5,9,22
TORONTO RAPTORS,240,37,83,2,10,18,22,15,38,21,6,9,10,23
