team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
SACRAMENTO KINGS,240,38,97,11,37,17,29,22,35,28,5,5,17,21
MILWAUKEE BUCKS,240,40,90,5,14,27,36,15,37,22,12,4,16,23
BOSTON CELTICS,240,31,75,7,24,20,24,10,24,22,4,2,16,34
ORLANDO MAGIC,240,39,65,2,3,31,43,5,29,25,6,6,11,23
PHOENIX SUNS,240,33,77,7,18,20,26,12,34,26,6,8,17,26
PHILADELPHIA 76ERS,240,33,90,2,11,19,35,22,31,21,8,4,12,21
NEW JERSEY NETS,240,36,90,6,14,14,20,14,27,17,11,4,10,22
SEATTLE SUPERSONICS,240,37,86,5,18,16,24,20,35,18,7,9,17,20
WASHINGTON WIZARDS,240,40,73,1,7,24,34,6,30,24,5,6,15,26
TORONTO RAPTORS,240,45,83,7,13,23,34,10,27,35,10,8,13,29
VANCOUVER GRIZZLIES,240,45,79,6,10,20,26,11,28,22,9,5,11,26
UTAH JAZZ,240,38,77,7,12,16,26,10,21,29,5,5,11,26
