team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
GOLDEN STATE WARRIORS,240,30,98,4,19,11,14,23,30,16,12,8,22,23
CLEVELAND CAVALIERS,240,38,89,2,15,12,21,17,36,25,12,11,24,19
UTAH JAZZ,240,37,83,0,6,31,39,12,37,26,8,6,11,22
DALLAS MAVERICKS,240,37,85,4,15,14,20,10,33,21,8,3,14,29
INDIANA PACERS,240,38,79,12,26,14,15,8,34,25,6,8,11,22
DENVER NUGGETS,240,35,83,4,13,13,23,13,30,25,7,7,12,18
MILWAUKEE BUCKS,240,33,80,10,19,19,22,10,27,19,10,2,13,30
DETROIT PISTONS,240,37,78,6,20,21,31,16,32,23,8,7,15,22
HOUSTON ROCKETS,240,31,74,7,16,30,34,14,21,18,4,5,10,16
MIAMI HEAT,240,46,86,4,8,15,20,17,24,22,5,12,8,25
PORTLAND TRAIL BLAZERS,240,35,65,3,8,23,34,9,20,17,14,0,18,26
MINNESOTA TIMBERWOLVES,240,37,74,2,11,22,29,14,23,25,8,7,17,28
SACRAMENTO KINGS,240,36,89,2,12,15,16,13,36,16,5,7,18,16
TORONTO RAPTORS,240,45,106,5,12,6,9,19,33,34,9,15,11,18
