team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DETROIT PISTONS,240,35,74,8,16,24,29,7,27,24,10,0,21,23
CHARLOTTE HORNETS,240,46,88,8,16,17,24,14,30,31,10,4,16,21
ORLANDO MAGIC,240,35,87,6,15,14,17,14,31,23,11,3,28,34
CLEVELAND CAVALIERS,240,34,77,2,6,32,43,12,36,27,14,9,21,22
LOS ANGELES CLIPPERS,240,31,77,3,13,25,27,13,32,17,9,9,21,21
DALLAS MAVERICKS,240,41,87,5,13,12,14,9,30,27,5,1,16,20
GOLDEN STATE WARRIORS,240,41,86,8,13,25,36,13,29,24,7,5,12,27
HOUSTON ROCKETS,240,38,91,7,21,27,36,21,28,24,9,3,11,26
UTAH JAZZ,240,25,79,4,14,21,28,12,22,18,5,3,9,20
PORTLAND TRAIL BLAZERS,240,36,77,4,8,9,14,10,38,20,3,3,15,24
MINNESOTA TIMBERWOLVES,240,34,84,1,4,11,12,10,30,17,7,7,15,20
SAN ANTONIO SPURS,240,36,84,3,7,17,22,17,32,20,10,9,11,14
NEW JERSEY NETS,240,36,71,9,20,25,32,9,29,20,5,3,16,22
VANCOUVER GRIZZLIES,240,40,80,5,11,23,28,6,26,23,9,4,11,23
