team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
VANCOUVER GRIZZLIES,240,36,74,8,10,32,42,16,27,22,11,1,18,22
BOSTON CELTICS,240,40,88,6,16,17,22,18,24,25,10,8,15,30
LOS ANGELES CLIPPERS,240,34,80,10,18,28,31,4,28,19,2,4,17,33
CLEVELAND CAVALIERS,240,39,82,4,6,29,39,8,37,31,9,7,17,30
DENVER NUGGETS,240,37,85,3,13,18,24,8,30,21,4,10,18,24
LOS ANGELES LAKERS,240,52,107,8,18,18,26,26,33,33,12,12,11,19
CHARLOTTE HORNETS,240,33,82,5,11,16,18,14,16,24,10,1,17,12
MILWAUKEE BUCKS,240,55,86,13,23,14,15,12,31,46,9,7,11,18
NEW JERSEY NETS,240,37,93,11,24,15,20,22,31,22,8,8,20,27
ORLANDO MAGIC,240,35,85,3,9,21,28,13,28,17,11,6,19,20
DALLAS MAVERICKS,240,37,77,7,16,13,22,11,22,20,9,2,11,15
PORTLAND TRAIL BLAZERS,240,42,79,7,19,16,22,15,32,32,5,3,13,18
UTAH JAZZ,240,31,74,6,10,18,23,10,29,24,8,8,18,26
SAN ANTONIO SPURS,240,32,68,6,9,23,26,4,31,15,13,5,16,26
