team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DENVER NUGGETS,240,39,89,3,16,19,22,16,26,24,12,6,13,25
PHOENIX SUNS,240,42,79,7,11,22,28,13,32,35,4,6,20,23
CLEVELAND CAVALIERS,240,39,92,0,5,24,31,19,37,19,10,3,21,26
SACRAMENTO KINGS,240,42,86,9,22,20,29,7,32,23,10,10,18,22
MIAMI HEAT,240,38,77,4,14,14,22,16,32,25,3,8,15,18
VANCOUVER GRIZZLIES,240,34,78,2,5,13,20,10,22,24,14,6,9,17
