team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
TORONTO RAPTORS,240,35,81,5,14,15,19,10,32,22,9,6,15,24
BOSTON CELTICS,240,33,84,8,24,20,32,20,34,21,9,3,12,22
CHARLOTTE HORNETS,240,33,77,1,12,29,38,18,36,28,12,8,25,21
CHICAGO BULLS,240,33,83,6,12,14,24,12,24,19,19,7,17,26
MILWAUKEE BUCKS,240,34,89,5,16,11,14,11,31,18,6,2,17,25
INDIANA PACERS,240,37,80,8,25,24,27,11,36,24,5,5,14,19
CLEVELAND CAVALIERS,240,32,84,1,8,21,32,12,38,15,10,3,10,38
LOS ANGELES LAKERS,240,28,81,4,17,35,50,18,41,16,2,10,14,29
NEW JERSEY NETS,240,32,82,9,21,16,18,14,28,18,8,5,11,20
NEW YORK KNICKS,240,37,76,6,13,10,14,12,32,20,6,5,13,22
ATLANTA HAWKS,240,29,85,2,13,29,38,13,28,21,10,5,16,25
PHILADELPHIA 76ERS,240,41,83,0,3,25,32,10,43,26,11,2,17,27
PORTLAND TRAIL BLAZERS,240,42,75,3,9,18,27,11,29,31,7,4,11,27
SAN ANTONIO SPURS,240,31,67,2,11,31,38,9,26,18,6,2,10,21
MINNESOTA TIMBERWOLVES,240,37,81,1,8,16,22,10,27,20,8,2,7,23
UTAH JAZZ,240,36,74,3,8,13,21,9,35,22,3,5,16,25
DALLAS MAVERICKS,240,43,93,6,14,12,15,15,27,27,10,6,9,22
WASHINGTON WIZARDS,240,30,80,4,11,22,30,19,32,14,4,9,18,21
