team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DALLAS MAVERICKS,240,36,80,8,20,28,30,13,28,17,11,10,12,24
DENVER NUGGETS,240,38,81,2,9,18,28,14,26,27,7,2,16,21
HOUSTON ROCKETS,240,41,74,12,20,14,17,7,30,24,6,3,17,19
LOS ANGELES CLIPPERS,240,35,79,5,12,15,18,12,20,13,6,1,16,18
TORONTO RAPTORS,240,36,77,4,17,14,16,7,32,22,4,1,13,14
NEW YORK KNICKS,240,39,75,8,23,14,19,2,34,31,6,0,11,11
MEMPHIS GRIZZLIES,240,44,88,8,18,14,17,11,31,27,13,2,14,19
ORLANDO MAGIC,240,39,80,9,30,17,22,7,26,24,8,6,17,18
SEATTLE SUPERSONICS,240,28,76,7,22,19,27,15,35,15,7,3,11,19
PHOENIX SUNS,240,30,74,3,17,10,13,6,30,14,3,4,12,20
BOSTON CELTICS,240,26,66,8,24,31,41,10,27,19,7,4,13,25
UTAH JAZZ,240,34,72,1,12,27,36,9,27,24,7,2,12,26
