team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW JERSEY NETS,240,32,81,1,11,22,28,9,38,21,11,5,11,23
BOSTON CELTICS,240,27,80,1,21,19,23,12,40,19,3,1,20,20
ATLANTA HAWKS,240,28,69,1,12,21,26,9,29,18,6,6,24,19
CHICAGO BULLS,240,38,83,6,14,21,24,14,30,27,16,5,13,24
CLEVELAND CAVALIERS,240,33,87,4,20,23,32,18,34,23,9,3,19,24
DALLAS MAVERICKS,240,41,80,9,17,23,30,6,30,27,13,9,13,24
PHILADELPHIA 76ERS,240,43,77,7,11,10,18,7,36,22,7,4,14,20
MIAMI HEAT,240,33,77,2,12,15,20,6,28,14,6,1,15,16
MEMPHIS GRIZZLIES,240,32,85,7,16,9,15,9,29,22,12,6,14,15
MINNESOTA TIMBERWOLVES,240,42,89,3,12,9,13,16,42,22,10,4,17,18
GOLDEN STATE WARRIORS,240,34,94,5,18,18,26,19,29,16,12,7,15,17
SACRAMENTO KINGS,240,46,99,10,20,15,19,22,44,22,10,4,18,21
NEW YORK KNICKS,240,40,82,11,25,14,15,7,28,28,9,2,12,27
SAN ANTONIO SPURS,240,35,75,5,13,22,35,14,29,16,8,7,14,21
HOUSTON ROCKETS,240,34,71,5,20,21,29,8,26,18,7,2,17,22
SEATTLE SUPERSONICS,240,39,77,8,20,14,22,9,28,29,10,1,14,21
DENVER NUGGETS,240,29,64,1,5,22,32,9,22,18,10,3,24,32
UTAH JAZZ,240,35,67,3,7,26,37,9,27,29,13,6,20,29
DETROIT PISTONS,265,37,86,8,19,12,17,11,34,26,6,9,11,19
WASHINGTON WIZARDS,265,37,89,1,7,15,17,13,34,20,6,3,10,16
