team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
GOLDEN STATE WARRIORS,240,41,79,9,19,16,21,10,38,25,5,5,16,19
BOSTON CELTICS,240,39,89,5,22,12,17,11,24,17,8,3,8,16
MIAMI HEAT,240,23,78,3,9,25,29,9,34,18,11,1,13,23
CHICAGO BULLS,240,31,70,2,8,18,28,8,38,18,5,13,17,25
MILWAUKEE BUCKS,240,35,83,8,16,25,34,8,24,26,7,9,8,24
DENVER NUGGETS,240,40,82,5,15,23,32,16,37,31,4,5,13,29
ATLANTA HAWKS,265,39,85,3,8,18,21,8,39,18,6,10,12,25
DETROIT PISTONS,265,36,90,6,16,24,30,12,37,24,9,6,9,20
LOS ANGELES LAKERS,240,36,74,3,11,21,24,9,21,17,9,4,14,15
HOUSTON ROCKETS,240,34,85,8,22,17,19,17,26,15,10,4,12,24
PHILADELPHIA 76ERS,240,36,81,2,9,17,23,11,33,22,6,3,12,17
INDIANA PACERS,240,32,66,6,16,15,24,5,28,25,7,9,16,23
DALLAS MAVERICKS,240,41,86,8,21,24,27,14,29,27,8,3,9,21
LOS ANGELES CLIPPERS,240,43,89,6,18,15,25,19,31,25,7,3,15,23
PHOENIX SUNS,240,40,87,4,12,17,22,15,38,23,8,4,12,20
MEMPHIS GRIZZLIES,240,35,83,12,28,17,20,9,34,25,6,12,12,19
NEW YORK KNICKS,240,37,86,7,24,14,16,13,23,22,7,5,14,23
NEW JERSEY NETS,240,37,72,4,8,23,29,7,33,24,8,2,16,19
ORLANDO MAGIC,240,37,80,7,19,16,28,10,26,17,8,3,13,20
NEW ORLEANS HORNETS,240,34,83,6,14,21,23,21,29,20,10,6,16,29
WASHINGTON WIZARDS,240,31,74,4,10,14,20,12,29,19,5,7,11,16
SEATTLE SUPERSONICS,240,27,73,7,17,13,18,13,28,16,6,3,14,19
CLEVELAND CAVALIERS,240,31,81,3,14,18,20,12,35,17,8,5,22,14
TORONTO RAPTORS,240,36,91,7,15,10,13,13,26,22,10,8,15,24
PORTLAND TRAIL BLAZERS,240,32,71,5,14,16,18,9,27,18,7,2,19,21
UTAH JAZZ,240,35,70,3,8,21,25,8,28,31,10,7,16,15
