team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DENVER NUGGETS,240,33,80,3,12,17,22,15,29,20,11,2,19,20
ATLANTA HAWKS,240,37,78,5,14,13,18,9,30,23,15,4,16,18
NEW JERSEY NETS,240,33,76,2,12,11,19,19,34,17,7,4,22,20
DALLAS MAVERICKS,240,34,81,5,14,15,17,10,26,21,10,1,9,18
HOUSTON ROCKETS,240,31,71,0,5,21,30,12,26,14,7,3,11,19
DETROIT PISTONS,240,33,70,8,19,22,24,10,28,16,3,6,12,21
INDIANA PACERS,240,34,85,4,17,28,35,11,24,24,9,5,12,20
GOLDEN STATE WARRIORS,240,43,79,3,14,18,24,8,32,22,5,9,16,20
MILWAUKEE BUCKS,240,35,75,5,12,25,31,3,37,15,5,4,11,23
MIAMI HEAT,240,36,92,0,7,19,21,13,35,19,7,5,9,26
CLEVELAND CAVALIERS,240,33,81,2,10,12,18,11,39,18,11,1,19,21
NEW YORK KNICKS,240,29,77,8,21,23,27,8,32,19,12,0,17,15
PHOENIX SUNS,240,39,66,10,13,16,25,6,25,22,8,2,16,20
SAN ANTONIO SPURS,240,38,82,3,26,18,22,14,22,25,9,7,13,19
MINNESOTA TIMBERWOLVES,240,34,72,3,9,12,16,9,27,22,9,3,14,19
SEATTLE SUPERSONICS,240,34,74,7,16,17,20,7,26,20,9,3,11,19
TORONTO RAPTORS,240,36,82,4,11,13,19,11,23,19,11,5,11,23
WASHINGTON WIZARDS,240,30,72,0,11,26,30,12,31,16,7,6,18,17
