team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PHILADELPHIA 76ERS,240,31,81,4,13,40,44,14,23,22,14,2,13,21
CHICAGO BULLS,240,46,73,10,15,13,16,4,25,32,4,9,19,29
MEMPHIS GRIZZLIES,240,36,88,7,16,7,8,14,23,22,6,5,15,17
HOUSTON ROCKETS,240,35,76,8,23,19,22,15,31,28,11,5,19,10
DENVER NUGGETS,240,40,91,3,15,21,27,14,28,30,13,5,18,24
LOS ANGELES LAKERS,240,43,87,14,27,26,35,14,32,28,8,6,22,25
INDIANA PACERS,240,37,76,5,13,30,36,12,33,21,10,3,14,18
NEW YORK KNICKS,240,37,86,6,14,13,14,12,20,19,4,4,14,25
PHOENIX SUNS,240,40,73,5,14,17,24,4,25,22,11,3,20,19
PORTLAND TRAIL BLAZERS,240,48,84,4,15,20,24,10,31,30,13,1,16,18
MIAMI HEAT,240,40,85,6,15,17,20,14,30,23,3,2,8,20
TORONTO RAPTORS,240,35,87,8,19,21,30,19,26,16,4,5,7,18
