team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
GOLDEN STATE WARRIORS,240,35,91,2,12,19,22,12,30,20,10,12,15,14
CHICAGO BULLS,240,44,92,5,14,12,18,19,36,25,9,4,17,19
SACRAMENTO KINGS,240,37,92,6,19,17,21,13,35,25,9,5,12,18
DALLAS MAVERICKS,240,41,81,12,24,17,24,6,40,23,7,5,12,17
BOSTON CELTICS,240,36,75,11,22,6,9,3,25,20,13,2,17,24
HOUSTON ROCKETS,240,35,78,6,18,23,27,17,28,20,11,8,19,14
LOS ANGELES CLIPPERS,240,32,85,6,13,18,29,19,25,12,6,5,11,26
INDIANA PACERS,240,38,80,6,12,24,33,19,31,19,7,7,10,26
PHILADELPHIA 76ERS,240,34,84,2,4,17,22,12,29,17,15,4,22,17
ORLANDO MAGIC,240,40,88,14,32,11,17,12,36,28,14,4,18,19
DENVER NUGGETS,240,31,81,7,20,21,31,12,27,25,4,4,12,25
PORTLAND TRAIL BLAZERS,240,38,73,7,14,18,22,4,34,27,6,3,14,24
MINNESOTA TIMBERWOLVES,240,45,83,7,12,15,15,16,25,23,6,9,17,24
SAN ANTONIO SPURS,240,33,70,6,13,16,19,4,21,18,6,5,22,17
MIAMI HEAT,240,41,79,2,9,13,15,9,27,28,6,9,12,20
WASHINGTON WIZARDS,240,38,78,3,9,16,22,11,27,21,5,9,11,18
