team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
UTAH JAZZ,240,35,69,3,7,30,38,9,28,27,8,5,14,31
CLEVELAND CAVALIERS,240,26,71,4,8,36,45,12,23,18,8,5,11,31
TORONTO RAPTORS,240,34,80,2,7,6,13,21,22,20,7,3,12,20
DETROIT PISTONS,240,35,73,5,13,14,21,14,27,19,9,8,11,17
PORTLAND TRAIL BLAZERS,240,32,78,1,10,15,24,12,43,21,4,7,9,20
LOS ANGELES CLIPPERS,240,29,88,4,16,17,23,13,32,17,5,5,7,21
CHICAGO BULLS,240,25,60,5,13,25,37,2,23,15,5,3,19,21
MIAMI HEAT,240,44,79,3,9,11,20,9,34,30,10,3,13,26
CHARLOTTE HORNETS,240,35,74,3,7,28,34,12,25,20,15,3,13,20
MILWAUKEE BUCKS,240,35,75,11,27,11,15,12,27,21,8,6,20,24
DENVER NUGGETS,240,32,87,3,15,16,22,10,24,19,10,3,11,26
PHILADELPHIA 76ERS,240,43,81,2,7,22,32,17,42,30,9,3,18,17
HOUSTON ROCKETS,240,40,77,8,15,14,17,8,37,25,3,4,11,15
WASHINGTON WIZARDS,240,37,88,2,13,13,15,14,24,23,4,6,5,16
