team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW JERSEY NETS,240,40,84,3,11,20,26,13,31,21,9,4,14,28
ATLANTA HAWKS,240,35,79,7,16,28,35,10,32,15,5,5,10,22
MILWAUKEE BUCKS,240,32,74,7,20,21,25,5,35,24,4,9,14,27
CHICAGO BULLS,240,36,82,3,9,21,34,12,34,25,7,1,8,24
TORONTO RAPTORS,240,33,79,4,13,11,20,16,29,25,5,3,19,19
CLEVELAND CAVALIERS,240,37,77,4,9,21,25,9,28,29,10,4,9,21
BOSTON CELTICS,240,41,77,14,27,14,21,7,27,28,5,4,10,25
DENVER NUGGETS,240,33,87,5,22,22,32,17,28,17,6,5,13,24
PHOENIX SUNS,240,41,89,6,16,11,13,18,33,21,11,5,15,25
DETROIT PISTONS,240,25,68,5,13,16,20,7,25,16,6,9,19,14
MEMPHIS GRIZZLIES,240,35,81,1,7,7,12,14,34,22,8,4,18,20
HOUSTON ROCKETS,240,30,83,4,16,21,27,16,29,14,12,3,15,21
UTAH JAZZ,240,35,79,5,12,23,28,17,33,29,16,5,19,20
INDIANA PACERS,240,30,73,7,13,15,19,7,27,19,14,3,22,23
WASHINGTON WIZARDS,240,33,77,5,16,23,27,8,29,20,3,3,9,18
LOS ANGELES LAKERS,240,43,89,10,22,7,14,15,29,29,4,3,7,21
NEW YORK KNICKS,240,46,90,8,17,14,17,14,29,21,11,3,18,23
ORLANDO MAGIC,240,46,81,10,22,20,28,6,28,35,12,6,13,17
SAN ANTONIO SPURS,240,36,93,0,7,14,17,20,34,17,8,6,18,16
SACRAMENTO KINGS,240,41,96,4,14,13,16,16,31,22,10,6,13,13
DALLAS MAVERICKS,240,43,82,11,28,15,21,10,33,25,7,4,16,20
SEATTLE SUPERSONICS,240,43,87,9,20,11,17,9,29,22,11,2,15,17
