team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
SACRAMENTO KINGS,240,37,76,8,18,20,22,6,47,26,10,5,19,16
BOSTON CELTICS,240,34,89,6,24,11,17,8,33,20,11,1,11,17
HOUSTON ROCKETS,240,41,85,6,13,21,26,9,24,21,8,6,9,20
CLEVELAND CAVALIERS,240,43,82,1,3,24,30,14,31,28,2,7,14,22
CHICAGO BULLS,240,34,74,2,12,27,31,15,28,18,10,7,19,26
LOS ANGELES LAKERS,240,33,76,3,17,20,26,13,22,17,9,3,20,24
PORTLAND TRAIL BLAZERS,240,37,79,11,24,18,21,8,29,25,8,5,15,22
MINNESOTA TIMBERWOLVES,240,44,77,7,12,18,28,6,30,37,8,0,11,20
DALLAS MAVERICKS,240,40,78,5,20,27,27,7,30,20,6,3,14,19
NEW JERSEY NETS,240,38,95,8,29,16,24,23,26,29,10,3,13,23
PHOENIX SUNS,240,35,88,1,8,8,12,17,31,18,9,7,19,19
SEATTLE SUPERSONICS,240,34,78,4,10,18,20,10,33,23,10,9,16,16
