team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MEMPHIS GRIZZLIES,240,39,78,3,12,11,18,11,32,28,8,3,15,22
CHARLOTTE HORNETS,240,28,83,0,10,22,27,17,28,21,11,5,16,19
ATLANTA HAWKS,240,39,90,5,13,17,25,11,39,21,10,7,16,28
GOLDEN STATE WARRIORS,240,29,79,5,16,31,45,15,36,18,7,17,18,23
PHILADELPHIA 76ERS,240,29,87,0,8,18,21,14,31,20,10,8,9,17
INDIANA PACERS,240,33,76,5,13,15,19,9,37,28,5,10,15,20
MIAMI HEAT,240,32,80,7,19,9,14,13,25,22,8,2,18,15
MINNESOTA TIMBERWOLVES,240,40,76,2,10,11,12,6,33,25,11,5,17,17
DENVER NUGGETS,240,31,83,4,14,11,14,10,25,17,8,7,13,23
NEW JERSEY NETS,240,37,78,2,9,22,29,15,34,25,8,9,16,19
UTAH JAZZ,240,36,87,3,11,17,29,16,30,19,9,4,13,25
NEW YORK KNICKS,240,27,68,7,18,28,30,6,28,14,6,7,18,28
DALLAS MAVERICKS,240,38,86,10,20,19,21,9,35,23,8,2,8,18
PHOENIX SUNS,240,35,86,6,23,16,21,13,33,23,7,1,14,18
LOS ANGELES LAKERS,240,39,85,10,23,17,22,11,25,24,7,4,9,28
PORTLAND TRAIL BLAZERS,240,41,83,6,14,23,31,14,30,28,7,2,13,17
SEATTLE SUPERSONICS,240,50,91,8,18,18,23,18,30,30,7,7,14,31
SACRAMENTO KINGS,240,37,85,4,23,38,43,12,23,21,8,2,9,23
MILWAUKEE BUCKS,240,29,73,10,25,23,24,6,31,17,6,6,13,25
TORONTO RAPTORS,240,31,84,2,14,22,31,14,32,17,6,6,13,20
