team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PHILADELPHIA 76ERS,240,39,83,2,6,39,44,12,27,23,9,5,10,21
CLEVELAND CAVALIERS,240,37,85,2,9,23,26,14,30,26,6,8,20,31
NEW YORK KNICKS,240,46,95,6,12,9,11,12,27,31,8,4,10,23
GOLDEN STATE WARRIORS,240,41,98,6,13,23,28,32,30,20,6,14,17,15
DALLAS MAVERICKS,240,38,77,6,17,18,25,6,34,23,9,6,9,18
HOUSTON ROCKETS,240,30,85,4,17,21,28,23,33,14,9,2,14,17
PORTLAND TRAIL BLAZERS,240,33,77,6,24,12,17,4,31,17,4,2,18,24
LOS ANGELES LAKERS,240,33,77,3,14,23,32,10,32,18,12,3,16,18
DETROIT PISTONS,240,35,81,6,19,20,27,12,31,18,2,5,8,24
MINNESOTA TIMBERWOLVES,240,41,81,4,11,17,26,12,31,26,5,3,9,22
MEMPHIS GRIZZLIES,265,50,87,7,18,16,26,6,22,30,10,3,13,28
NEW ORLEANS HORNETS,265,48,88,7,14,22,26,11,26,34,7,3,16,27
CHICAGO BULLS,240,34,74,2,6,26,34,6,36,23,5,5,24,32
ORLANDO MAGIC,240,37,88,7,26,29,36,11,30,19,13,3,12,26
MILWAUKEE BUCKS,240,24,73,3,15,7,11,6,24,10,6,5,13,18
SEATTLE SUPERSONICS,240,35,78,7,15,11,17,11,36,25,3,6,10,12
PHOENIX SUNS,240,33,91,4,12,19,26,18,28,15,9,4,11,21
TORONTO RAPTORS,240,40,86,1,10,11,14,15,38,28,6,5,17,21
NEW JERSEY NETS,240,35,83,2,12,14,26,16,27,23,6,4,7,22
WASHINGTON WIZARDS,240,33,71,3,11,20,26,10,33,12,6,6,10,24
