team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PHILADELPHIA 76ERS,240,45,89,4,10,16,28,13,35,31,14,2,15,24
CHICAGO BULLS,240,32,85,0,11,18,25,19,31,23,4,5,24,27
MINNESOTA TIMBERWOLVES,240,30,72,2,7,23,31,8,35,26,10,9,11,16
DENVER NUGGETS,240,32,87,3,8,10,17,21,34,25,4,5,16,24
MILWAUKEE BUCKS,240,40,82,10,27,14,16,11,26,22,7,1,12,24
LOS ANGELES CLIPPERS,240,43,85,3,8,21,28,16,32,29,6,6,10,14
WASHINGTON WIZARDS,240,29,76,0,9,17,26,10,25,16,7,4,10,15
NEW ORLEANS HORNETS,240,36,80,6,13,9,13,16,35,20,7,6,16,20
HOUSTON ROCKETS,240,37,84,11,23,22,26,22,35,18,6,8,14,21
PHOENIX SUNS,240,31,76,5,17,22,27,8,24,15,8,4,12,22
GOLDEN STATE WARRIORS,240,38,84,2,12,20,22,12,29,24,8,8,21,22
PORTLAND TRAIL BLAZERS,240,49,90,7,16,20,24,11,23,25,13,6,13,17
NEW YORK KNICKS,240,35,77,6,17,18,21,8,26,21,5,1,14,26
SEATTLE SUPERSONICS,240,35,75,5,15,28,36,14,33,14,9,2,15,24
DETROIT PISTONS,240,33,88,5,17,18,20,10,28,18,6,5,4,16
TORONTO RAPTORS,240,35,80,2,7,12,16,11,37,21,2,9,13,22
LOS ANGELES LAKERS,240,32,74,10,24,19,23,9,28,16,8,8,9,21
UTAH JAZZ,240,34,79,2,8,17,26,14,24,22,5,9,11,22
