team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ATLANTA HAWKS,240,34,85,4,12,11,16,11,26,22,10,2,17,21
CHARLOTTE HORNETS,240,42,84,3,10,19,30,14,39,34,12,13,16,16
NEW YORK KNICKS,240,33,79,4,15,8,16,13,25,19,8,5,15,22
CLEVELAND CAVALIERS,240,32,76,1,8,15,18,14,33,19,8,8,17,19
DALLAS MAVERICKS,240,36,69,7,11,31,39,8,30,25,5,10,20,34
GOLDEN STATE WARRIORS,240,35,84,1,6,30,42,15,24,20,11,5,14,29
PHOENIX SUNS,240,34,88,2,14,10,14,13,28,20,10,5,11,18
LOS ANGELES CLIPPERS,240,43,84,5,11,9,14,12,36,26,4,8,15,13
MILWAUKEE BUCKS,240,38,87,5,14,20,25,17,33,24,9,5,14,24
ORLANDO MAGIC,240,31,76,5,19,22,31,11,29,15,10,7,19,26
VANCOUVER GRIZZLIES,240,37,84,7,16,19,27,9,31,23,9,4,16,21
SACRAMENTO KINGS,240,42,91,6,17,20,24,15,34,29,11,1,15,21
