team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DALLAS MAVERICKS,240,39,82,18,40,20,28,9,28,27,12,5,12,25
ATLANTA HAWKS,240,39,82,3,8,26,35,16,34,15,10,6,17,22
CHARLOTTE HORNETS,240,33,72,6,12,22,31,8,36,24,8,3,16,24
CHICAGO BULLS,240,34,82,6,13,12,19,9,30,22,5,4,16,24
TORONTO RAPTORS,240,37,84,2,11,16,18,14,31,18,7,3,14,25
DETROIT PISTONS,240,33,82,3,16,21,27,19,30,15,8,3,13,18
MILWAUKEE BUCKS,240,35,81,10,20,26,36,14,30,19,3,8,15,25
INDIANA PACERS,240,35,84,5,19,27,35,17,32,22,7,5,14,28
LOS ANGELES CLIPPERS,240,34,90,3,16,12,14,19,26,16,7,9,15,18
MINNESOTA TIMBERWOLVES,240,41,91,3,12,12,19,21,28,23,8,5,13,16
HOUSTON ROCKETS,265,41,86,10,20,14,22,15,32,24,5,4,15,24
PHILADELPHIA 76ERS,265,43,90,2,8,24,26,13,29,18,8,3,9,19
CLEVELAND CAVALIERS,240,41,80,4,8,16,24,13,32,22,5,5,15,27
SACRAMENTO KINGS,240,40,83,5,12,24,33,11,25,22,8,5,7,19
SAN ANTONIO SPURS,240,35,75,8,20,18,27,8,27,22,9,4,13,24
WASHINGTON WIZARDS,240,31,81,5,14,24,33,21,31,13,7,3,13,23
