team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
LOS ANGELES LAKERS,240,50,87,7,17,20,24,17,38,26,10,6,18,15
ATLANTA HAWKS,240,41,98,4,7,7,12,18,20,24,12,3,15,21
MINNESOTA TIMBERWOLVES,240,30,89,6,18,15,21,12,24,19,5,6,13,27
CLEVELAND CAVALIERS,240,39,76,8,14,28,36,11,41,26,8,8,15,27
LOS ANGELES CLIPPERS,240,43,82,10,18,21,25,11,34,28,7,8,16,17
DALLAS MAVERICKS,240,41,90,7,17,11,13,11,28,18,7,5,11,19
MIAMI HEAT,265,40,90,3,10,17,17,12,29,20,9,8,13,22
DENVER NUGGETS,265,36,81,8,17,14,23,12,30,20,7,8,16,18
GOLDEN STATE WARRIORS,265,40,95,6,17,10,18,16,28,21,7,6,17,24
HOUSTON ROCKETS,265,36,83,4,16,24,28,12,38,18,8,5,17,19
BOSTON CELTICS,240,34,89,8,27,14,16,12,25,18,9,5,12,23
MILWAUKEE BUCKS,240,40,76,11,22,18,24,7,42,32,9,5,17,22
PHILADELPHIA 76ERS,240,28,80,0,6,15,22,15,36,18,9,1,16,18
NEW YORK KNICKS,240,32,85,6,22,8,11,12,31,25,6,6,14,24
CHICAGO BULLS,240,34,71,4,10,18,25,10,18,19,9,7,13,18
PHOENIX SUNS,240,40,74,1,10,10,12,9,23,27,5,2,21,20
CHARLOTTE HORNETS,240,29,80,3,9,17,21,13,33,14,11,6,14,24
SAN ANTONIO SPURS,240,25,73,4,21,19,23,12,29,11,5,9,15,18
PORTLAND TRAIL BLAZERS,240,38,78,6,17,10,15,11,34,22,7,8,16,15
SEATTLE SUPERSONICS,240,33,82,9,17,11,15,13,27,21,4,4,17,20
DETROIT PISTONS,240,37,74,5,22,10,13,6,30,21,6,4,15,20
WASHINGTON WIZARDS,240,34,80,2,8,16,22,15,30,17,8,3,11,17
