team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DETROIT PISTONS,240,31,86,6,19,22,29,16,26,17,9,7,11,17
BOSTON CELTICS,240,41,79,5,16,17,21,9,36,30,9,3,15,21
LOS ANGELES CLIPPERS,265,35,83,7,16,14,25,12,39,19,8,8,14,18
CHARLOTTE HORNETS,265,36,98,7,17,13,15,20,35,26,10,9,16,23
CHICAGO BULLS,240,37,80,2,6,14,22,13,25,28,8,5,12,24
INDIANA PACERS,240,34,76,4,16,25,27,13,31,26,8,5,16,20
WASHINGTON WIZARDS,240,33,86,8,18,12,22,19,25,22,7,6,12,14
MILWAUKEE BUCKS,240,44,83,10,13,7,10,11,27,29,8,3,14,20
LOS ANGELES LAKERS,240,37,93,9,21,19,30,11,26,26,9,3,6,25
MINNESOTA TIMBERWOLVES,240,41,77,8,18,30,32,8,43,30,4,5,13,25
PORTLAND TRAIL BLAZERS,240,35,82,5,15,17,21,20,30,22,9,6,16,23
ORLANDO MAGIC,240,33,74,6,19,12,18,13,22,16,7,5,17,20
SAN ANTONIO SPURS,240,29,75,4,16,22,25,15,29,14,5,7,20,21
PHILADELPHIA 76ERS,240,37,76,1,8,26,32,8,30,20,14,4,9,19
CLEVELAND CAVALIERS,240,42,85,14,23,2,4,13,23,25,6,6,13,20
SEATTLE SUPERSONICS,240,38,74,9,14,17,22,10,24,24,7,8,11,12
ATLANTA HAWKS,265,30,76,6,19,25,31,8,34,21,12,4,19,18
TORONTO RAPTORS,265,40,98,5,21,9,12,16,38,28,9,10,17,25
