team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
HOUSTON ROCKETS,240,34,74,4,21,19,25,10,30,17,8,4,19,21
ATLANTA HAWKS,240,36,81,4,12,19,24,11,29,21,10,4,13,23
TORONTO RAPTORS,240,34,80,5,17,24,26,12,27,22,8,2,17,20
BOSTON CELTICS,240,39,76,10,24,18,22,7,26,30,9,1,13,22
INDIANA PACERS,240,35,80,4,21,19,22,8,31,27,11,5,15,15
CHICAGO BULLS,240,32,74,4,7,13,16,10,32,26,6,5,24,24
MIAMI HEAT,265,38,80,7,12,12,19,8,33,28,4,9,11,27
CLEVELAND CAVALIERS,265,33,80,3,14,24,32,14,30,24,4,9,17,24
NEW JERSEY NETS,240,41,91,4,16,19,27,19,32,27,6,3,14,30
DALLAS MAVERICKS,240,36,83,5,21,36,42,12,33,18,10,4,8,21
MILWAUKEE BUCKS,240,35,80,8,18,19,26,13,42,19,5,5,16,22
DETROIT PISTONS,240,29,80,6,20,15,24,9,29,13,7,5,11,23
UTAH JAZZ,240,32,78,5,14,32,40,18,25,24,14,5,14,25
GOLDEN STATE WARRIORS,240,36,77,4,7,23,27,14,26,20,6,5,19,28
DENVER NUGGETS,240,37,91,5,16,10,14,18,23,21,3,3,7,20
LOS ANGELES CLIPPERS,240,42,85,3,15,15,24,18,32,26,3,14,10,16
WASHINGTON WIZARDS,240,38,88,7,15,18,22,16,23,21,2,1,8,21
MINNESOTA TIMBERWOLVES,240,39,74,6,20,21,25,6,29,30,5,4,9,18
CHARLOTTE HORNETS,240,40,78,6,11,25,30,11,37,27,12,5,13,22
NEW YORK KNICKS,240,25,83,3,15,15,18,14,23,15,5,3,16,24
SEATTLE SUPERSONICS,240,41,62,8,13,19,24,4,31,24,9,3,20,23
PHILADELPHIA 76ERS,240,35,79,5,11,23,32,14,19,25,10,1,15,19
MEMPHIS GRIZZLIES,240,41,73,2,6,14,20,6,34,27,9,3,23,22
SACRAMENTO KINGS,240,46,94,3,14,17,26,17,29,23,15,0,13,18
