team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
BOSTON CELTICS,240,36,81,8,18,28,31,10,38,24,6,2,14,14
CLEVELAND CAVALIERS,240,39,90,3,17,8,10,7,29,30,3,8,13,21
DETROIT PISTONS,240,30,78,6,17,21,24,16,33,20,6,4,16,20
DALLAS MAVERICKS,240,34,82,8,19,18,20,12,30,24,9,4,13,20
ATLANTA HAWKS,265,30,83,3,14,21,27,10,37,15,10,8,17,26
HOUSTON ROCKETS,265,33,84,4,18,19,28,14,38,17,10,5,16,21
PORTLAND TRAIL BLAZERS,240,31,73,4,12,21,27,5,37,17,10,7,15,28
LOS ANGELES LAKERS,240,37,79,7,16,17,29,11,34,22,8,7,15,21
PHILADELPHIA 76ERS,240,27,72,5,10,15,23,15,26,16,4,6,18,20
MINNESOTA TIMBERWOLVES,240,34,81,3,9,12,15,13,24,24,9,9,10,21
INDIANA PACERS,240,37,81,6,15,17,20,9,33,22,8,6,20,25
NEW JERSEY NETS,240,37,95,6,16,23,31,18,29,24,8,7,11,23
WASHINGTON WIZARDS,240,36,82,6,13,13,18,9,30,23,11,4,14,27
NEW YORK KNICKS,240,32,75,6,20,23,33,13,33,16,7,2,17,21
TORONTO RAPTORS,240,27,75,3,12,28,45,22,16,17,13,3,21,29
ORLANDO MAGIC,240,44,72,4,8,22,31,10,27,23,12,7,17,31
DENVER NUGGETS,240,35,89,5,16,24,35,19,29,16,11,5,12,16
PHOENIX SUNS,240,37,78,6,14,16,19,9,38,27,9,4,21,26
SEATTLE SUPERSONICS,240,37,86,5,13,16,21,11,40,26,8,3,15,28
SACRAMENTO KINGS,240,39,86,4,20,19,27,12,34,26,9,5,13,19
LOS ANGELES CLIPPERS,240,35,78,1,8,27,33,11,31,9,11,3,18,31
SAN ANTONIO SPURS,240,37,80,11,24,24,36,14,28,21,7,8,16,24
MILWAUKEE BUCKS,265,43,83,10,25,23,27,10,21,25,11,3,13,28
UTAH JAZZ,265,43,81,5,16,21,25,11,30,36,8,4,20,24
