team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
UTAH JAZZ,240,29,83,4,8,20,26,24,29,14,4,5,21,18
CHARLOTTE HORNETS,240,37,83,8,12,18,25,15,23,25,15,6,13,21
LOS ANGELES LAKERS,240,37,84,4,13,32,48,16,39,20,10,8,17,26
GOLDEN STATE WARRIORS,240,36,88,5,14,25,33,13,35,17,8,6,14,31
SACRAMENTO KINGS,240,36,87,4,18,20,27,16,29,19,8,5,14,21
NEW YORK KNICKS,240,45,92,6,16,17,18,13,37,31,6,4,10,23
DALLAS MAVERICKS,240,40,76,4,12,22,22,7,25,24,9,5,22,22
PORTLAND TRAIL BLAZERS,240,50,90,13,27,19,25,12,23,40,13,4,15,17
CHICAGO BULLS,240,34,91,3,11,15,22,19,33,12,7,7,14,34
SAN ANTONIO SPURS,240,28,72,5,17,30,45,10,39,20,6,8,14,19
