team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ATLANTA HAWKS,240,36,74,3,12,27,32,9,29,26,11,4,17,17
CHICAGO BULLS,240,35,78,6,18,20,23,10,26,26,12,9,19,23
NEW JERSEY NETS,240,37,82,6,12,17,18,15,25,24,9,8,13,25
CLEVELAND CAVALIERS,240,35,84,6,13,24,27,17,25,23,6,5,12,18
LOS ANGELES LAKERS,240,36,82,3,12,23,32,11,34,18,5,1,10,30
DALLAS MAVERICKS,240,36,88,10,24,32,37,19,37,18,5,5,10,28
NEW YORK KNICKS,240,33,83,8,23,27,29,11,32,21,10,5,10,16
MEMPHIS GRIZZLIES,240,39,79,4,8,10,13,10,38,24,4,5,17,20
PHILADELPHIA 76ERS,240,32,72,6,15,21,27,11,28,12,9,1,12,21
MIAMI HEAT,240,34,70,1,8,10,17,11,19,23,4,2,16,21
TORONTO RAPTORS,240,32,83,1,6,15,16,9,26,21,4,8,12,20
MINNESOTA TIMBERWOLVES,240,44,82,6,8,18,21,8,38,30,6,7,9,14
MILWAUKEE BUCKS,240,36,79,6,18,13,17,13,34,18,7,3,22,23
ORLANDO MAGIC,240,37,87,13,26,14,21,15,28,23,13,2,14,18
HOUSTON ROCKETS,240,34,89,1,15,18,30,21,33,17,7,4,14,20
SACRAMENTO KINGS,240,43,90,6,8,18,23,13,36,28,9,5,9,22
GOLDEN STATE WARRIORS,240,35,72,4,13,19,29,11,18,23,9,2,18,21
SEATTLE SUPERSONICS,240,46,83,2,9,16,21,14,24,31,8,5,15,23
DETROIT PISTONS,240,32,73,9,19,21,28,8,30,14,10,6,14,28
UTAH JAZZ,240,30,72,1,11,26,38,14,33,21,10,4,18,26
