team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
SACRAMENTO KINGS,240,40,94,1,10,11,15,14,30,24,11,4,13,12
ATLANTA HAWKS,240,37,89,6,18,11,13,11,39,22,9,4,18,18
MILWAUKEE BUCKS,240,30,81,6,16,14,17,5,37,18,5,2,20,22
BOSTON CELTICS,240,38,84,13,34,21,27,8,42,25,13,7,14,19
DENVER NUGGETS,240,35,75,3,4,9,11,9,33,17,4,4,20,25
DETROIT PISTONS,240,30,72,4,19,22,31,7,28,19,15,6,13,14
MIAMI HEAT,240,31,74,2,10,17,22,9,25,15,11,5,15,26
INDIANA PACERS,240,34,72,3,13,29,35,15,35,20,12,4,16,23
SAN ANTONIO SPURS,240,36,81,5,18,18,21,9,31,14,6,5,14,27
LOS ANGELES LAKERS,240,34,80,4,12,24,28,13,30,18,6,10,13,22
NEW JERSEY NETS,240,31,74,4,11,19,21,7,29,24,6,7,7,17
MINNESOTA TIMBERWOLVES,240,35,79,2,12,14,20,12,35,22,2,2,9,19
NEW YORK KNICKS,240,32,79,5,17,21,27,14,35,22,8,5,17,19
ORLANDO MAGIC,240,39,90,6,24,13,16,12,30,18,12,9,14,19
TORONTO RAPTORS,240,29,78,5,8,9,13,13,27,18,7,4,12,26
PHILADELPHIA 76ERS,240,27,67,1,4,15,24,9,30,15,8,4,18,21
DALLAS MAVERICKS,240,40,77,10,20,20,23,11,31,22,7,4,12,17
WASHINGTON WIZARDS,240,43,89,4,9,13,13,12,26,27,6,3,8,21
