team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PORTLAND TRAIL BLAZERS,240,35,74,11,32,19,24,5,32,26,14,1,18,22
BOSTON CELTICS,240,34,77,5,23,18,21,5,31,20,10,1,18,20
MILWAUKEE BUCKS,240,42,76,7,16,19,22,5,31,23,3,6,12,26
CHARLOTTE HORNETS,240,40,93,3,15,30,37,21,25,22,8,7,5,16
DETROIT PISTONS,240,35,78,5,14,23,30,9,26,25,12,9,7,20
DENVER NUGGETS,240,36,72,0,4,19,23,8,30,26,5,4,16,25
WASHINGTON WIZARDS,240,37,79,3,9,22,29,14,24,25,11,3,7,27
GOLDEN STATE WARRIORS,240,33,76,10,28,20,31,17,27,26,3,6,16,22
HOUSTON ROCKETS,240,38,80,4,13,6,10,10,21,21,8,2,14,19
LOS ANGELES CLIPPERS,240,34,72,2,14,23,31,15,30,17,6,6,16,17
