team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
HOUSTON ROCKETS,240,32,71,5,9,20,30,10,28,17,14,5,23,24
LOS ANGELES CLIPPERS,240,33,71,3,13,21,28,7,29,18,3,4,22,26
MILWAUKEE BUCKS,240,36,85,6,15,21,32,15,29,24,10,2,11,22
LOS ANGELES LAKERS,240,44,87,5,14,18,28,17,36,34,8,3,12,22
MINNESOTA TIMBERWOLVES,240,43,76,0,4,20,29,9,31,28,10,7,16,18
NEW YORK KNICKS,240,34,84,8,22,12,14,11,22,21,8,2,19,20
MIAMI HEAT,240,29,84,2,15,15,19,14,25,14,7,2,14,21
ORLANDO MAGIC,240,31,74,2,6,13,18,12,38,15,5,6,18,22
SEATTLE SUPERSONICS,240,36,91,6,12,13,18,15,28,18,8,2,8,21
SAN ANTONIO SPURS,240,32,74,6,20,20,26,12,35,13,4,11,16,19
PHILADELPHIA 76ERS,240,36,70,4,10,18,25,6,35,15,3,3,13,15
TORONTO RAPTORS,240,33,86,7,24,11,15,13,22,19,10,6,7,19
