team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
WASHINGTON WIZARDS,240,40,89,4,16,14,21,13,25,22,5,5,12,23
CLEVELAND CAVALIERS,240,44,84,2,8,21,31,11,31,30,4,11,11,17
ORLANDO MAGIC,240,32,79,4,9,18,24,12,23,19,6,5,11,18
HOUSTON ROCKETS,240,36,80,9,22,15,22,19,32,21,6,6,15,16
MINNESOTA TIMBERWOLVES,240,33,72,5,11,17,21,7,38,17,1,7,15,20
MIAMI HEAT,240,28,82,7,16,16,21,12,28,15,6,4,11,25
NEW YORK KNICKS,240,33,79,9,20,12,14,6,33,17,8,5,12,21
MILWAUKEE BUCKS,240,36,84,7,19,11,19,16,34,24,5,8,11,14
CHICAGO BULLS,240,41,69,7,13,20,24,6,26,25,9,9,25,23
NEW ORLEANS HORNETS,240,36,78,9,24,25,33,13,18,27,14,1,15,23
ATLANTA HAWKS,240,35,80,2,20,11,14,12,33,21,6,7,14,11
PORTLAND TRAIL BLAZERS,240,37,87,7,14,9,10,11,30,28,7,6,9,10
DALLAS MAVERICKS,240,34,85,5,20,8,15,13,32,18,9,2,14,19
SAN ANTONIO SPURS,240,27,83,3,16,21,26,16,33,15,9,6,15,18
MEMPHIS GRIZZLIES,240,33,76,8,22,15,20,14,23,22,8,10,20,26
UTAH JAZZ,240,36,80,2,3,22,27,17,22,23,7,9,16,22
