team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DENVER NUGGETS,240,38,88,7,19,10,18,13,29,17,10,7,14,24
CLEVELAND CAVALIERS,240,33,87,2,9,21,31,19,37,19,10,7,14,19
BOSTON CELTICS,240,35,74,2,13,16,17,13,27,23,13,4,21,27
DETROIT PISTONS,240,33,80,8,18,22,32,21,24,19,12,5,18,19
ATLANTA HAWKS,240,29,79,4,12,10,20,13,30,19,8,4,19,25
GOLDEN STATE WARRIORS,240,37,83,5,18,20,31,16,36,23,10,2,14,20
SACRAMENTO KINGS,265,46,92,9,14,24,28,17,24,29,9,3,14,19
MINNESOTA TIMBERWOLVES,265,52,101,4,9,13,18,18,28,32,10,8,11,27
MILWAUKEE BUCKS,240,37,79,5,13,27,33,11,27,21,9,3,8,17
NEW YORK KNICKS,240,37,84,6,21,10,15,15,30,24,7,4,17,23
CHICAGO BULLS,240,39,72,5,11,23,25,7,26,21,8,7,13,20
ORLANDO MAGIC,240,40,87,6,15,14,20,14,22,21,5,4,11,21
NEW ORLEANS HORNETS,265,41,91,13,30,11,12,15,36,23,9,4,18,30
PHILADELPHIA 76ERS,265,35,86,4,17,25,30,14,30,25,11,3,16,17
MEMPHIS GRIZZLIES,240,33,81,7,16,14,19,11,26,25,8,6,10,20
PORTLAND TRAIL BLAZERS,240,36,78,2,4,19,23,16,34,20,6,6,15,18
PHOENIX SUNS,240,30,80,5,16,15,21,10,25,13,5,11,9,19
UTAH JAZZ,240,35,76,1,10,20,25,12,36,16,3,4,8,19
DALLAS MAVERICKS,240,32,85,2,11,24,30,17,29,22,8,5,15,15
WASHINGTON WIZARDS,240,38,89,13,30,11,12,11,37,29,9,9,13,26
