team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CHICAGO BULLS,240,28,65,9,18,24,35,10,37,14,6,3,19,27
BOSTON CELTICS,240,28,85,8,27,18,27,14,28,22,10,3,12,26
DETROIT PISTONS,265,33,82,2,8,17,21,10,34,26,7,4,20,24
GOLDEN STATE WARRIORS,265,34,76,0,12,19,24,6,38,24,8,7,20,27
TORONTO RAPTORS,240,24,69,6,18,25,28,5,39,15,7,2,18,31
LOS ANGELES LAKERS,240,32,77,2,7,28,45,10,37,22,10,3,11,23
CLEVELAND CAVALIERS,240,32,71,2,8,17,30,11,31,21,9,7,17,17
MIAMI HEAT,240,35,77,5,13,13,17,9,31,21,10,3,15,20
SEATTLE SUPERSONICS,240,39,79,10,15,16,24,10,33,25,7,5,11,24
MILWAUKEE BUCKS,240,36,95,5,23,22,26,20,31,22,4,2,9,20
SAN ANTONIO SPURS,240,32,78,5,15,16,19,11,39,16,5,10,11,12
NEW JERSEY NETS,240,32,89,1,9,6,9,10,30,25,8,7,8,18
UTAH JAZZ,240,35,72,1,12,18,23,11,24,26,7,4,17,23
NEW ORLEANS HORNETS,240,31,67,12,24,22,28,7,23,24,9,4,15,22
MEMPHIS GRIZZLIES,240,33,74,9,19,32,42,11,26,18,7,5,11,26
ORLANDO MAGIC,240,38,84,3,12,18,27,17,30,20,8,7,13,31
ATLANTA HAWKS,240,37,81,10,21,15,18,13,31,19,6,1,16,19
PHOENIX SUNS,240,36,84,4,18,18,25,13,28,14,11,7,11,19
