team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
BOSTON CELTICS,240,31,82,3,12,26,35,12,31,21,11,4,10,21
CHICAGO BULLS,240,34,71,5,9,19,28,8,36,24,4,7,16,29
MILWAUKEE BUCKS,240,38,84,5,15,31,39,13,29,25,8,10,21,35
CLEVELAND CAVALIERS,240,38,81,5,9,36,49,15,26,32,12,6,19,32
ORLANDO MAGIC,240,45,85,8,16,19,26,10,35,22,6,5,28,33
DALLAS MAVERICKS,240,44,87,8,13,29,39,11,28,24,14,9,17,26
SEATTLE SUPERSONICS,240,37,89,7,26,18,29,14,30,19,7,7,17,30
DETROIT PISTONS,240,39,85,5,14,24,29,12,36,24,8,2,20,27
HOUSTON ROCKETS,240,34,85,9,19,26,32,14,35,19,8,4,11,17
GOLDEN STATE WARRIORS,240,38,95,3,13,16,19,21,36,26,4,6,15,28
WASHINGTON WIZARDS,240,34,92,0,7,15,18,19,36,22,9,3,15,27
INDIANA PACERS,240,38,83,6,21,23,29,12,33,22,6,8,11,19
PHOENIX SUNS,240,37,87,5,11,21,22,11,27,25,9,5,16,17
MINNESOTA TIMBERWOLVES,240,49,92,2,7,11,15,11,36,35,11,5,15,16
ATLANTA HAWKS,240,38,90,5,15,14,22,12,24,17,7,1,16,28
PORTLAND TRAIL BLAZERS,240,53,81,4,15,21,32,9,38,33,5,7,17,27
CHARLOTTE HORNETS,240,31,87,2,10,15,20,13,30,17,9,9,9,13
SAN ANTONIO SPURS,240,39,83,5,9,12,14,11,37,24,4,11,12,18
