team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MIAMI HEAT,240,42,90,9,19,13,16,11,22,21,8,4,12,26
ATLANTA HAWKS,240,45,81,3,7,20,28,15,31,15,7,9,15,17
PORTLAND TRAIL BLAZERS,240,35,88,5,21,25,28,17,34,23,6,10,16,27
CLEVELAND CAVALIERS,240,38,76,4,10,23,27,4,30,26,11,3,14,25
DALLAS MAVERICKS,240,42,91,3,12,12,15,13,24,19,9,2,17,18
HOUSTON ROCKETS,240,48,90,9,26,14,20,15,33,29,9,6,20,19
NEW YORK KNICKS,240,35,81,1,12,24,31,9,30,11,4,2,12,22
LOS ANGELES CLIPPERS,240,31,77,10,31,28,32,10,31,13,9,6,13,27
TORONTO RAPTORS,240,38,89,6,16,11,14,12,28,28,7,0,17,25
PHOENIX SUNS,240,36,76,3,13,19,24,11,31,25,9,9,21,23
NEW JERSEY NETS,240,39,100,3,10,11,17,22,24,17,10,2,11,21
SACRAMENTO KINGS,240,44,85,7,24,10,18,17,40,28,7,5,19,20
VANCOUVER GRIZZLIES,240,34,85,2,6,17,20,13,22,16,8,6,13,27
WASHINGTON WIZARDS,240,31,73,3,5,24,30,18,29,17,7,8,21,26
