team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PHOENIX SUNS,240,40,72,2,9,21,32,15,28,30,18,14,29,31
CHICAGO BULLS,240,27,74,2,8,24,38,15,21,17,16,3,26,24
LOS ANGELES LAKERS,240,53,85,5,12,12,28,14,39,21,8,6,21,24
DALLAS MAVERICKS,240,38,91,7,16,18,22,12,23,12,9,2,15,25
SAN ANTONIO SPURS,240,47,88,7,12,17,26,12,40,35,7,6,16,24
GOLDEN STATE WARRIORS,240,33,95,1,10,22,27,17,31,15,6,2,14,19
INDIANA PACERS,240,39,95,8,21,15,19,16,31,16,7,6,16,24
MIAMI HEAT,240,48,93,3,14,14,20,15,37,27,10,6,15,21
PORTLAND TRAIL BLAZERS,240,30,73,4,14,23,31,12,28,19,7,4,10,27
UTAH JAZZ,240,29,67,1,11,33,38,9,25,20,5,6,10,24
