team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW YORK KNICKS,240,27,68,4,12,16,25,7,29,14,6,6,16,26
BOSTON CELTICS,240,28,72,9,20,15,27,15,34,15,5,6,19,25
NEW JERSEY NETS,240,35,72,4,11,18,24,8,31,22,11,8,23,25
CHARLOTTE HORNETS,240,33,77,3,14,27,34,7,27,28,13,4,17,20
PORTLAND TRAIL BLAZERS,240,37,89,8,14,11,13,15,31,24,6,6,13,18
DENVER NUGGETS,240,30,82,5,15,13,19,16,32,19,9,9,16,16
HOUSTON ROCKETS,240,35,71,6,16,21,23,9,35,18,12,10,20,21
LOS ANGELES LAKERS,240,28,83,3,9,22,25,15,24,15,9,5,15,21
PHOENIX SUNS,240,33,86,6,17,20,28,18,30,17,4,3,17,21
MILWAUKEE BUCKS,240,41,77,5,14,20,25,7,30,28,7,2,12,26
CHICAGO BULLS,240,34,79,5,15,13,14,7,26,27,14,6,20,26
PHILADELPHIA 76ERS,240,34,69,1,4,23,33,10,30,18,14,6,23,21
UTAH JAZZ,240,34,88,5,10,19,23,17,34,19,6,4,17,29
SACRAMENTO KINGS,240,39,88,7,21,20,29,15,33,19,9,8,13,26
GOLDEN STATE WARRIORS,240,40,86,6,15,17,21,12,27,25,13,4,17,23
VANCOUVER GRIZZLIES,240,38,85,2,9,15,21,16,31,20,7,2,21,17
MIAMI HEAT,240,38,77,7,16,21,29,5,35,25,9,9,10,21
WASHINGTON WIZARDS,240,35,88,5,15,20,26,15,34,26,6,3,12,25
