team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DALLAS MAVERICKS,240,36,88,8,22,19,24,17,23,24,5,4,16,26
CLEVELAND CAVALIERS,240,38,86,4,10,26,32,22,33,28,10,10,15,20
PHOENIX SUNS,240,38,86,2,7,16,27,13,38,25,8,6,14,31
LOS ANGELES CLIPPERS,240,26,76,1,11,27,39,10,34,12,9,7,17,20
DENVER NUGGETS,240,31,80,4,13,26,38,14,32,16,4,2,18,26
MINNESOTA TIMBERWOLVES,240,44,85,2,7,19,27,8,29,27,7,9,10,26
WASHINGTON WIZARDS,240,31,72,4,10,19,29,10,30,19,16,6,19,24
NEW JERSEY NETS,240,31,80,3,13,13,17,14,32,18,6,7,23,23
SACRAMENTO KINGS,240,42,91,10,26,17,20,13,31,23,11,6,19,25
ORLANDO MAGIC,240,42,92,2,12,16,24,15,34,17,10,4,17,21
NEW YORK KNICKS,240,21,70,2,9,26,32,10,34,10,8,5,17,23
PHILADELPHIA 76ERS,240,29,75,2,5,14,28,13,35,13,11,6,18,24
DETROIT PISTONS,240,34,80,2,12,17,22,10,30,21,10,4,19,21
SAN ANTONIO SPURS,240,45,76,4,10,12,16,3,35,29,5,8,19,24
LOS ANGELES LAKERS,240,40,77,5,12,16,21,7,37,27,7,8,9,20
SEATTLE SUPERSONICS,240,31,79,1,9,14,24,13,29,17,5,5,11,21
ATLANTA HAWKS,240,43,79,5,11,16,26,15,36,25,5,10,13,15
TORONTO RAPTORS,240,36,95,6,20,11,16,19,23,27,7,9,9,22
